epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.914,0.54453,0.46474,0.81858,0.79164,0.51286,0.579,0.40699,1.04341,2.28039,1.09076,0.0709947,0.000145755,0.000145755
2,407.912,0.54213,0.46098,0.81865,0.78735,0.51315,0.57661,0.40959,1.0364,2.21607,1.08979,0.0419552,0.000291392,0.000291392
3,598.634,0.54269,0.45931,0.81829,0.81449,0.49917,0.57579,0.40719,1.03554,2.23354,1.0892,0.0129154,0.00043674,0.00043674
4,786.99,0.55037,0.46634,0.81685,0.78334,0.5031,0.56595,0.3981,1.05825,2.27582,1.10456,0.000498515,0.000498515,0.000498515
5,974.58,0.56711,0.47634,0.8239,0.80721,0.49445,0.56851,0.39984,1.05946,2.28742,1.10681,0.00049802,0.00049802,0.00049802
6,1162.17,0.56847,0.47807,0.82158,0.79709,0.49867,0.56497,0.39471,1.07347,2.29936,1.12438,0.000497525,0.000497525,0.000497525
7,1350.2,0.56986,0.47888,0.82202,0.78022,0.50375,0.56154,0.39311,1.06564,2.37983,1.11578,0.00049703,0.00049703,0.00049703
8,1537.95,0.5709,0.48166,0.82098,0.79643,0.49738,0.56502,0.39735,1.05187,2.37307,1.10239,0.000496535,0.000496535,0.000496535
9,1724.79,0.57109,0.48038,0.82171,0.81225,0.49008,0.56613,0.39597,1.05869,2.33362,1.12107,0.00049604,0.00049604,0.00049604
10,1911.75,0.57094,0.48057,0.82147,0.79097,0.49562,0.56235,0.39578,1.07101,2.41031,1.13296,0.000495545,0.000495545,0.000495545
11,2098.97,0.57065,0.47947,0.82116,0.78471,0.49274,0.56012,0.3951,1.06152,2.317,1.11605,0.00049505,0.00049505,0.00049505
12,2286.92,0.5672,0.47725,0.82167,0.79444,0.49627,0.56539,0.40006,1.0554,2.39401,1.11567,0.000494555,0.000494555,0.000494555
13,2474.97,0.56455,0.47371,0.82056,0.76498,0.50472,0.5674,0.40139,1.03843,2.27621,1.0946,0.00049406,0.00049406,0.00049406
14,2663.22,0.56655,0.47776,0.82233,0.78151,0.50171,0.56835,0.40202,1.04637,2.2069,1.09311,0.000493565,0.000493565,0.000493565
15,2852.15,0.56922,0.47763,0.82212,0.77194,0.50202,0.56558,0.39941,1.05438,2.19914,1.09809,0.00049307,0.00049307,0.00049307
16,3039.9,0.56311,0.47751,0.82167,0.76391,0.50851,0.56007,0.39206,1.05097,2.30963,1.09902,0.000492575,0.000492575,0.000492575
17,3227.92,0.56415,0.47485,0.82078,0.7806,0.50055,0.56289,0.39719,1.04418,2.32365,1.0976,0.00049208,0.00049208,0.00049208
18,3415.11,0.56497,0.47528,0.81979,0.78067,0.50053,0.56638,0.40031,1.04475,2.3724,1.10217,0.000491585,0.000491585,0.000491585
19,3602.59,0.56627,0.47398,0.81933,0.76841,0.50429,0.56474,0.39919,1.04801,2.33845,1.09694,0.00049109,0.00049109,0.00049109
20,3790.16,0.56639,0.47477,0.82029,0.78161,0.50518,0.56788,0.40251,1.03826,2.2431,1.09126,0.000490595,0.000490595,0.000490595
21,3977.6,0.5604,0.4716,0.81989,0.77493,0.5009,0.56539,0.39974,1.05264,2.2525,1.11126,0.0004901,0.0004901,0.0004901
22,4166.3,0.56383,0.47481,0.81812,0.80058,0.50114,0.56476,0.39789,1.05877,2.21089,1.13462,0.000489605,0.000489605,0.000489605
23,4353.97,0.56511,0.47352,0.81888,0.80826,0.49452,0.57156,0.40324,1.04234,2.28437,1.10296,0.00048911,0.00048911,0.00048911
24,4541.43,0.56278,0.47596,0.81995,0.80186,0.49475,0.57157,0.40298,1.03776,2.22106,1.0851,0.000488615,0.000488615,0.000488615
25,4728.26,0.56046,0.47205,0.81952,0.8031,0.48907,0.56514,0.39808,1.06249,2.22473,1.12979,0.00048812,0.00048812,0.00048812
26,4915.29,0.56235,0.47162,0.81941,0.78579,0.49814,0.56922,0.40456,1.03111,2.30922,1.10128,0.000487625,0.000487625,0.000487625
27,5102.69,0.56206,0.4737,0.81859,0.78106,0.50313,0.5742,0.40619,1.03593,2.26447,1.09825,0.00048713,0.00048713,0.00048713
28,5290.16,0.55871,0.46979,0.81864,0.80898,0.49285,0.56937,0.40518,1.03257,2.28774,1.09261,0.000486635,0.000486635,0.000486635
29,5478.47,0.5595,0.46978,0.8183,0.79353,0.49554,0.5719,0.40852,1.0305,2.28257,1.09074,0.00048614,0.00048614,0.00048614
30,5667.19,0.55663,0.46682,0.81739,0.79276,0.49774,0.5684,0.40449,1.02984,2.28077,1.09063,0.000485645,0.000485645,0.000485645
31,5855,0.55711,0.46798,0.81896,0.78716,0.50432,0.56979,0.4066,1.03123,2.22831,1.10151,0.00048515,0.00048515,0.00048515
32,6041.78,0.5571,0.4655,0.81612,0.79724,0.49451,0.56865,0.40523,1.0337,2.20092,1.09984,0.000484655,0.000484655,0.000484655
33,6228.85,0.55774,0.46845,0.81803,0.77278,0.50919,0.57107,0.40715,1.0318,2.18781,1.09987,0.00048416,0.00048416,0.00048416
34,6415.76,0.55572,0.46766,0.81839,0.81243,0.49849,0.57191,0.40657,1.02291,2.24302,1.09868,0.000483665,0.000483665,0.000483665
35,6603.65,0.55536,0.46634,0.81705,0.77605,0.50436,0.57083,0.40752,1.02864,2.29709,1.10267,0.00048317,0.00048317,0.00048317
36,6791.9,0.5541,0.46544,0.81649,0.78034,0.49942,0.56994,0.40937,1.02482,2.21808,1.10241,0.000482675,0.000482675,0.000482675
