epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.766,1.7389,3.32614,1.57492,0.32215,0.24702,0.19223,0.08566,1.30808,7.20295,1.14098,0.0029151,0.0029151,0.0029151
2,359.348,1.67157,2.55296,1.46914,0.26943,0.23029,0.16685,0.07452,1.42834,7.85813,1.2601,0.00582207,0.00582207,0.00582207
3,529.03,1.86052,2.84922,1.63958,0.14155,0.1343,0.07506,0.03114,1.6873,14.8476,1.52939,0.00871749,0.00871749,0.00871749
4,697.603,2.14784,3.35787,1.92587,0.14004,0.09244,0.04422,0.01958,1.7825,57.1496,1.67592,0.00994062,0.00994062,0.00994062
5,864.261,2.13293,3.32625,1.96337,0.18405,0.10318,0.07448,0.02872,1.66316,16.1229,1.55039,0.00992083,0.00992083,0.00992083
6,1032.12,2.01977,3.14164,1.87561,0.19527,0.17013,0.10403,0.04232,1.57015,9.29486,1.4619,0.00990104,0.00990104,0.00990104
7,1198.17,1.94481,3.00579,1.80353,0.20545,0.18223,0.11525,0.04873,1.53734,7.75374,1.43092,0.00988125,0.00988125,0.00988125
8,1367.46,1.89787,2.93395,1.75587,0.21289,0.14693,0.1233,0.05407,1.47802,10.2359,1.3892,0.00986145,0.00986145,0.00986145
9,1537.89,1.84688,2.85181,1.72194,0.24913,0.21604,0.15347,0.06466,1.46668,11.1832,1.38609,0.00984166,0.00984166,0.00984166
10,1707.56,1.81722,2.79175,1.70436,0.2474,0.2304,0.16186,0.07061,1.42897,9.58904,1.34892,0.00982187,0.00982187,0.00982187
11,1876.92,1.79467,2.75608,1.67593,0.2556,0.23082,0.16215,0.07273,1.41925,8.68374,1.31866,0.00980208,0.00980208,0.00980208
12,2046.97,1.77,2.73368,1.65957,0.27295,0.23943,0.17465,0.07753,1.40577,8.75299,1.32697,0.00978228,0.00978228,0.00978228
13,2216.61,1.74739,2.68033,1.64537,0.27811,0.22673,0.1755,0.07835,1.38792,7.99515,1.31588,0.00976249,0.00976249,0.00976249
14,2383.57,1.73571,2.66303,1.63594,0.25343,0.25632,0.17997,0.08278,1.38399,6.52047,1.29847,0.0097427,0.0097427,0.0097427
15,2549.84,1.72538,2.62038,1.62289,0.28309,0.25078,0.18722,0.08573,1.37481,7.61257,1.28908,0.00972291,0.00972291,0.00972291
16,2717.11,1.70903,2.60979,1.61281,0.25876,0.27126,0.19804,0.0889,1.37629,8.74553,1.28395,0.00970311,0.00970311,0.00970311
17,2886.92,1.69378,2.58244,1.60035,0.30885,0.26655,0.21218,0.09527,1.35741,8.14908,1.28474,0.00968332,0.00968332,0.00968332
18,3056.4,1.68442,2.55175,1.59245,0.30247,0.27502,0.21488,0.09848,1.32856,7.37177,1.26215,0.00966353,0.00966353,0.00966353
19,3226.42,1.69174,2.56714,1.59276,0.29699,0.27461,0.21186,0.09941,1.34292,6.22257,1.26326,0.00964374,0.00964374,0.00964374
20,3393.49,1.67703,2.52666,1.57641,0.32391,0.27277,0.22506,0.10263,1.32123,6.68071,1.2366,0.00962394,0.00962394,0.00962394
21,3561.72,1.66284,2.5186,1.5655,0.31452,0.29197,0.22686,0.10673,1.30955,7.93886,1.22813,0.00960415,0.00960415,0.00960415
22,3728.33,1.64624,2.49602,1.552,0.34276,0.28284,0.24099,0.11058,1.29152,6.76406,1.22519,0.00958436,0.00958436,0.00958436
23,3898.52,1.65,2.47998,1.56065,0.34715,0.27605,0.23994,0.11146,1.29512,6.099,1.22411,0.00956457,0.00956457,0.00956457
24,4066.9,1.63836,2.48146,1.55225,0.32356,0.27869,0.23348,0.11044,1.29943,5.92537,1.23141,0.00954477,0.00954477,0.00954477
25,4234.44,1.63316,2.46854,1.5518,0.34673,0.28413,0.23579,0.11122,1.29773,6.37671,1.22138,0.00952498,0.00952498,0.00952498
26,4405.31,1.63985,2.45769,1.54571,0.33321,0.29222,0.24923,0.11898,1.27819,6.72547,1.21497,0.00950519,0.00950519,0.00950519
27,4573.77,1.61939,2.43471,1.5358,0.35198,0.29283,0.24791,0.11858,1.27118,6.25542,1.20644,0.0094854,0.0094854,0.0094854
28,4742.94,1.62842,2.42839,1.54223,0.3568,0.30285,0.2559,0.12449,1.26711,5.83572,1.19366,0.00946561,0.00946561,0.00946561
29,4910.42,1.61239,2.42157,1.53045,0.33612,0.30914,0.25564,0.12372,1.25146,6.41895,1.19359,0.00944581,0.00944581,0.00944581
30,5079.67,1.60988,2.41023,1.52839,0.35566,0.30637,0.26224,0.1285,1.24348,6.8296,1.18435,0.00942602,0.00942602,0.00942602
31,5247.9,1.60517,2.40885,1.52423,0.36916,0.31174,0.2704,0.13054,1.25247,6.14565,1.19022,0.00940623,0.00940623,0.00940623
32,5415.64,1.59585,2.38432,1.51413,0.36149,0.3157,0.26928,0.13022,1.24348,6.21796,1.17903,0.00938644,0.00938644,0.00938644
33,5585,1.59448,2.38254,1.51615,0.38374,0.3252,0.28029,0.13574,1.23368,6.33017,1.17792,0.00936664,0.00936664,0.00936664
34,5755.6,1.59847,2.39393,1.5175,0.37383,0.3119,0.2779,0.13731,1.22334,6.80395,1.16984,0.00934685,0.00934685,0.00934685
35,5925.03,1.58478,2.35468,1.5054,0.37702,0.32453,0.28428,0.13809,1.2327,6.55551,1.17631,0.00932706,0.00932706,0.00932706
36,6093.99,1.5883,2.35509,1.50969,0.379,0.3319,0.28351,0.13859,1.22137,6.4718,1.16231,0.00930727,0.00930727,0.00930727
37,6263.83,1.58139,2.34651,1.50524,0.38067,0.32957,0.28659,0.14351,1.21599,6.45449,1.15708,0.00928747,0.00928747,0.00928747
38,6433.3,1.57304,2.32977,1.49321,0.38314,0.33412,0.28937,0.14392,1.21108,6.56024,1.16318,0.00926768,0.00926768,0.00926768
39,6603.99,1.57493,2.32543,1.49878,0.37761,0.33942,0.29459,0.14666,1.21119,6.45434,1.15856,0.00924789,0.00924789,0.00924789
40,6772.32,1.57567,2.32486,1.49797,0.39011,0.33539,0.29372,0.14711,1.20486,6.29424,1.15115,0.0092281,0.0092281,0.0092281
41,6942.32,1.55982,2.31443,1.48243,0.39671,0.33624,0.29568,0.14802,1.19899,6.67835,1.14921,0.0092083,0.0092083,0.0092083
42,7107.82,1.56931,2.30764,1.49083,0.40609,0.33842,0.30475,0.15091,1.20599,6.24366,1.14866,0.00918851,0.00918851,0.00918851
43,7274.2,1.55826,2.30589,1.48811,0.40224,0.34721,0.30501,0.15309,1.19902,6.47151,1.14293,0.00916872,0.00916872,0.00916872
44,7438.81,1.56102,2.3,1.48438,0.40866,0.34051,0.30852,0.15314,1.19635,6.41887,1.14381,0.00914893,0.00914893,0.00914893
45,7605.96,1.55776,2.28294,1.47615,0.41232,0.34844,0.3117,0.15536,1.1941,6.46466,1.13857,0.00912913,0.00912913,0.00912913
46,7772.89,1.55809,2.29509,1.47266,0.41093,0.35193,0.31637,0.15829,1.18859,6.62888,1.13412,0.00910934,0.00910934,0.00910934
47,7940.37,1.55198,2.27546,1.47009,0.407,0.35338,0.31426,0.15731,1.18815,6.5113,1.13058,0.00908955,0.00908955,0.00908955
48,8106.63,1.54494,2.2825,1.47387,0.40306,0.35537,0.31561,0.15867,1.18377,6.57668,1.13317,0.00906976,0.00906976,0.00906976
49,8272.99,1.53946,2.26904,1.46389,0.4045,0.35817,0.31696,0.15857,1.1888,6.43576,1.13403,0.00904996,0.00904996,0.00904996
50,8442.3,1.54939,2.25902,1.46568,0.40518,0.35869,0.31847,0.15991,1.18848,6.49519,1.13179,0.00903017,0.00903017,0.00903017
51,8609.05,1.54828,2.27037,1.47632,0.39902,0.36851,0.3224,0.16228,1.17924,6.72783,1.12956,0.00901038,0.00901038,0.00901038
52,8776.32,1.53984,2.25139,1.46211,0.4101,0.3668,0.32292,0.16319,1.17516,6.67638,1.12675,0.00899059,0.00899059,0.00899059
53,8943.52,1.54668,2.25768,1.46621,0.40512,0.36256,0.3238,0.16322,1.17553,6.79082,1.12322,0.0089708,0.0089708,0.0089708
54,9110.49,1.5295,2.23965,1.44993,0.41204,0.36304,0.32649,0.16481,1.17797,6.8421,1.12243,0.008951,0.008951,0.008951
55,9276,1.53,2.22532,1.45603,0.40822,0.3655,0.32897,0.16717,1.17203,6.84102,1.1203,0.00893121,0.00893121,0.00893121
56,9443.74,1.52904,2.23047,1.45235,0.42701,0.36836,0.33382,0.16891,1.16863,6.67246,1.11819,0.00891142,0.00891142,0.00891142
57,9612.67,1.53023,2.24226,1.45264,0.42357,0.36828,0.33471,0.16983,1.17072,6.68814,1.11891,0.00889163,0.00889163,0.00889163
58,9781.36,1.53165,2.22577,1.4518,0.4313,0.36959,0.3359,0.17097,1.17063,6.49431,1.11838,0.00887183,0.00887183,0.00887183
59,9948.86,1.52852,2.20345,1.44873,0.43045,0.36762,0.33796,0.17173,1.17019,6.44475,1.11732,0.00885204,0.00885204,0.00885204
60,10117.3,1.5224,2.21751,1.45017,0.44081,0.36584,0.33906,0.17208,1.16745,6.74035,1.11494,0.00883225,0.00883225,0.00883225
61,10285,1.52341,2.20006,1.44044,0.44245,0.36926,0.3404,0.17298,1.16554,6.81755,1.11364,0.00881246,0.00881246,0.00881246
62,10454.7,1.50599,2.18829,1.43481,0.43804,0.3725,0.34171,0.17367,1.16458,6.74907,1.11303,0.00879266,0.00879266,0.00879266
63,10623.4,1.515,2.18735,1.43705,0.44025,0.37061,0.34229,0.17351,1.16451,6.75696,1.11333,0.00877287,0.00877287,0.00877287
64,10792.4,1.51702,2.19616,1.44073,0.4401,0.37248,0.34371,0.1737,1.16463,6.73047,1.11401,0.00875308,0.00875308,0.00875308
65,10960.2,1.51397,2.18706,1.44187,0.4467,0.36937,0.34457,0.17397,1.16445,6.65294,1.11268,0.00873329,0.00873329,0.00873329
66,11129.9,1.50579,2.17864,1.43211,0.44553,0.37132,0.34494,0.17455,1.16312,6.77387,1.11093,0.00871349,0.00871349,0.00871349
