epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.624,1.82643,3.70857,1.65631,0.27579,0.20156,0.16702,0.07386,1.44963,19.8355,1.29754,0.0029107,0.0029107,0.0029107
2,185.015,1.71512,2.71215,1.4998,0.26795,0.19832,0.13749,0.06284,1.57938,8.38329,1.44528,0.00581669,0.00581669,0.00581669
3,272.396,1.89672,2.93864,1.66258,0.11839,0.11046,0.03972,0.01486,1.82585,16.2903,1.68373,0.00871112,0.00871112,0.00871112
4,359.889,2.21335,3.49026,1.97547,0.03369,0.03437,0.0127,0.00513,2.12225,208.979,2.20936,0.00994062,0.00994062,0.00994062
5,445.869,2.24319,3.54071,2.01659,0.05044,0.08205,0.02372,0.00939,1.93377,19.3147,1.91405,0.00992083,0.00992083,0.00992083
6,531.908,2.15876,3.37647,1.97953,0.15955,0.12001,0.07068,0.02741,1.82939,12.6714,1.75239,0.00990104,0.00990104,0.00990104
7,618.282,2.07219,3.24529,1.90884,0.1287,0.13633,0.06979,0.02893,1.75959,19.3631,1.68512,0.00988125,0.00988125,0.00988125
8,705.905,2.0153,3.14677,1.85107,0.16201,0.13662,0.08437,0.036,1.72003,9.78579,1.67274,0.00986145,0.00986145,0.00986145
9,792.285,1.98509,3.10285,1.82577,0.22516,0.15582,0.10757,0.04384,1.71694,9.06845,1.62186,0.00984166,0.00984166,0.00984166
10,878.535,1.94978,3.0404,1.81158,0.45664,0.15257,0.10802,0.04662,1.63921,11.2042,1.57839,0.00982187,0.00982187,0.00982187
11,964.978,1.93761,2.98856,1.77885,0.25711,0.19216,0.13956,0.05525,1.63416,10.6341,1.55265,0.00980208,0.00980208,0.00980208
12,1051.01,1.87676,2.91921,1.75011,0.25876,0.18096,0.13693,0.05791,1.60319,10.746,1.53451,0.00978228,0.00978228,0.00978228
13,1137.65,1.88414,2.89936,1.73215,0.28584,0.19366,0.14415,0.06109,1.60699,10.0444,1.54204,0.00976249,0.00976249,0.00976249
14,1223.81,1.85879,2.8795,1.72516,0.26147,0.21073,0.14182,0.06004,1.58156,8.0393,1.49805,0.0097427,0.0097427,0.0097427
15,1310.23,1.84008,2.83748,1.70575,0.37816,0.19546,0.1519,0.06488,1.57421,8.53391,1.48833,0.00972291,0.00972291,0.00972291
