epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.894,2.44635,3.89826,2.20805,0.00703,0.00326,0.00077,0.00023,2.49863,17.4169,2.60153,0.0733176,0.00242461,0.00242461
2,187.954,2.39717,3.72411,2.1896,0.04784,0.03006,0.01191,0.0055,2.3136,97.6676,2.29889,0.0464766,0.00475882,0.00475882
3,276.259,2.32045,3.62764,2.12724,0.08199,0.04346,0.02096,0.00859,2.03903,20.6878,1.93235,0.0195394,0.00699682,0.00699682
4,362.976,2.22845,3.48849,2.03611,0.08451,0.0442,0.02208,0.00978,1.95059,66.6704,1.84369,0.00783539,0.00783539,0.00783539
5,449.019,2.16987,3.38274,1.97649,0.12722,0.08653,0.04406,0.01802,1.85468,13.2749,1.74165,0.00767052,0.00767052,0.00767052
6,536.217,2.12398,3.27759,1.94221,0.12883,0.09743,0.05295,0.02208,1.84778,12.4374,1.74699,0.00750565,0.00750565,0.00750565
7,623.514,2.08018,3.23189,1.89848,0.14743,0.12351,0.06011,0.02299,1.77305,16.8283,1.65258,0.00734078,0.00734078,0.00734078
8,709.872,2.03255,3.1642,1.85126,0.196,0.13727,0.08875,0.03447,1.72031,14.873,1.62862,0.00717591,0.00717591,0.00717591
9,797.005,2.01276,3.11972,1.84329,0.1555,0.12025,0.06592,0.02646,1.747,7.25378,1.66552,0.00701103,0.00701103,0.00701103
10,883.339,2.00247,3.09961,1.85133,0.14939,0.09598,0.06695,0.02623,1.71049,8.0248,1.61903,0.00684616,0.00684616,0.00684616
11,969.193,1.99525,3.08164,1.8241,0.19825,0.14311,0.08724,0.03416,1.69696,8.06018,1.59791,0.00668129,0.00668129,0.00668129
12,1054.25,1.93181,2.99978,1.78509,0.21506,0.15647,0.09825,0.03984,1.69465,13.935,1.61121,0.00651642,0.00651642,0.00651642
13,1141.11,1.93714,2.97736,1.7782,0.2216,0.12061,0.09482,0.04028,1.6672,8.84399,1.57867,0.00635155,0.00635155,0.00635155
14,1228.54,1.92002,2.95751,1.76644,0.25336,0.16226,0.11464,0.04785,1.62975,9.72263,1.5461,0.00618668,0.00618668,0.00618668
15,1314.81,1.90388,2.91379,1.74214,0.25367,0.17349,0.12582,0.0539,1.61152,6.94972,1.52505,0.00602181,0.00602181,0.00602181
16,1402.39,1.86029,2.88738,1.72752,0.27602,0.18435,0.14045,0.06096,1.57248,8.37554,1.50989,0.00585694,0.00585694,0.00585694
17,1489.34,1.84022,2.84528,1.72144,0.26044,0.19051,0.13911,0.05971,1.56747,5.26498,1.4875,0.00569207,0.00569207,0.00569207
18,1574.59,1.8513,2.83379,1.71821,0.23971,0.17421,0.12223,0.05305,1.5878,7.44579,1.52298,0.0055272,0.0055272,0.0055272
19,1661.48,1.82235,2.80608,1.70085,0.26814,0.19268,0.15203,0.06398,1.56723,6.90217,1.49162,0.00536233,0.00536233,0.00536233
20,1747.93,1.82721,2.79826,1.69738,0.24534,0.20029,0.13702,0.05847,1.56395,7.70862,1.47617,0.00519746,0.00519746,0.00519746
21,1834.45,1.80488,2.78969,1.67992,0.27578,0.19667,0.14933,0.0614,1.56579,6.93894,1.49128,0.00503259,0.00503259,0.00503259
22,1921.1,1.78953,2.73692,1.66694,0.30887,0.20174,0.17263,0.07336,1.55189,5.57989,1.46329,0.00486772,0.00486772,0.00486772
23,2008.05,1.77717,2.70662,1.65982,0.28326,0.21369,0.16167,0.07023,1.53286,8.32497,1.46683,0.00470284,0.00470284,0.00470284
24,2094.7,1.76991,2.71536,1.65237,0.32076,0.19449,0.1649,0.06946,1.5591,5.69119,1.482,0.00453797,0.00453797,0.00453797
25,2181.41,1.75381,2.66256,1.63321,0.29794,0.22818,0.18173,0.08039,1.49653,8.38568,1.43468,0.0043731,0.0043731,0.0043731
26,2267.64,1.73146,2.64439,1.62164,0.3036,0.20862,0.16864,0.07651,1.53261,6.31929,1.46723,0.00420823,0.00420823,0.00420823
27,2353.47,1.74646,2.63841,1.61831,0.30638,0.21853,0.18732,0.0841,1.49193,5.5966,1.42689,0.00404336,0.00404336,0.00404336
28,2439.83,1.72791,2.63736,1.62055,0.32242,0.22564,0.19047,0.08541,1.48422,7.18979,1.40717,0.00387849,0.00387849,0.00387849
29,2526.08,1.71093,2.59989,1.60616,0.33335,0.2126,0.19585,0.08489,1.4851,5.50423,1.43989,0.00371362,0.00371362,0.00371362
30,2613.2,1.68742,2.57647,1.59029,0.33528,0.22598,0.19787,0.09025,1.46685,6.39411,1.41125,0.00354875,0.00354875,0.00354875
31,2700.03,1.68561,2.58148,1.59655,0.33869,0.23252,0.2014,0.09226,1.47341,4.86081,1.40399,0.00338388,0.00338388,0.00338388
32,2787.01,1.66701,2.53317,1.58094,0.33165,0.22601,0.1979,0.08629,1.51132,4.77755,1.42831,0.00321901,0.00321901,0.00321901
33,2872.06,1.68554,2.53866,1.58379,0.34245,0.23687,0.20891,0.0913,1.47166,5.94311,1.40673,0.00305414,0.00305414,0.00305414
34,2957.5,1.66948,2.50702,1.56865,0.34164,0.23325,0.20301,0.09131,1.47538,5.21806,1.40855,0.00288927,0.00288927,0.00288927
35,3043.22,1.65345,2.50307,1.56231,0.31931,0.22818,0.20038,0.09044,1.47527,5.54249,1.40275,0.0027244,0.0027244,0.0027244
36,3128.58,1.63633,2.46825,1.54995,0.3525,0.23361,0.2199,0.09721,1.46793,5.89972,1.39897,0.00255953,0.00255953,0.00255953
37,3215.38,1.64135,2.45278,1.54444,0.34996,0.25353,0.22248,0.09789,1.47657,4.85916,1.39588,0.00239466,0.00239466,0.00239466
38,3299.61,1.62829,2.44476,1.54007,0.34219,0.24919,0.22356,0.09792,1.45089,5.73176,1.38062,0.00222978,0.00222978,0.00222978
39,3386.5,1.61603,2.42315,1.53649,0.35747,0.25933,0.22303,0.10123,1.45022,6.04217,1.37791,0.00206491,0.00206491,0.00206491
40,3472.94,1.60984,2.42143,1.5213,0.37143,0.24991,0.22573,0.10244,1.44268,5.4182,1.3804,0.00190004,0.00190004,0.00190004
41,3559.31,1.64166,2.45319,1.56839,0.35067,0.26005,0.22901,0.1021,1.44176,5.4746,1.38352,0.00173517,0.00173517,0.00173517
42,3643.67,1.61879,2.37669,1.55035,0.36101,0.25788,0.23368,0.10389,1.44309,5.20298,1.37255,0.0015703,0.0015703,0.0015703
43,3730.42,1.59133,2.3525,1.53827,0.34933,0.26078,0.23341,0.10451,1.43563,5.31337,1.37479,0.00140543,0.00140543,0.00140543
44,3818.01,1.586,2.34368,1.52539,0.37299,0.25715,0.23367,0.10607,1.4229,5.1193,1.37173,0.00124056,0.00124056,0.00124056
45,3904.19,1.58175,2.32867,1.53033,0.36589,0.26874,0.24271,0.11012,1.41339,5.06859,1.35597,0.00107569,0.00107569,0.00107569
46,3989.99,1.56919,2.31574,1.52215,0.36795,0.27137,0.24133,0.10867,1.42332,5.02337,1.35788,0.000910819,0.000910819,0.000910819
47,4076.32,1.56404,2.3129,1.51971,0.36851,0.26367,0.24067,0.10907,1.41598,4.91771,1.35205,0.000745948,0.000745948,0.000745948
48,4160.54,1.54485,2.27402,1.50449,0.35533,0.27092,0.24585,0.11207,1.41591,5.06058,1.35243,0.000581077,0.000581077,0.000581077
49,4248.08,1.55449,2.26552,1.50832,0.3708,0.26693,0.24693,0.11249,1.40822,4.57858,1.34701,0.000416207,0.000416207,0.000416207
50,4333.55,1.53961,2.24375,1.49563,0.37343,0.27888,0.25289,0.11566,1.40477,4.8316,1.34261,0.000251336,0.000251336,0.000251336
