epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.9401,3.5138,4.58426,2.87325,0.00054,0.0816,0.00201,0.00042,3.12637,4.05247,2.69927,0.0700701,0.00332555,0.00332555
2,172.327,3.52046,4.38275,2.83609,0.00238,0.05715,0.00155,0.00037,3.07223,3.93163,2.59606,0.040069,0.00665775,0.00665775
3,254.661,3.3781,4.24863,2.77959,0.38747,0.0157,0.00736,0.00179,2.94916,5.36528,2.40091,0.0100633,0.00998543,0.00998543
4,336.432,3.24984,4.06214,2.65835,0.35745,0.00815,0.00953,0.0026,2.64861,4.56925,2.15871,0.00998474,0.00998474,0.00998474
5,418.293,3.11566,3.94172,2.5679,0.08724,0.01802,0.0167,0.00581,2.68966,3.93,2.20391,0.00997288,0.00997288,0.00997288
6,499.856,3.03676,3.79972,2.50305,0.16413,0.02885,0.01873,0.0054,2.58864,5.18006,2.1677,0.00995765,0.00995765,0.00995765
7,581.176,2.96132,3.69875,2.44235,0.23324,0.02289,0.0172,0.00523,2.58268,5.79244,2.19138,0.00993906,0.00993906,0.00993906
8,661.783,2.93119,3.6246,2.4393,0.1826,0.02368,0.02333,0.00972,2.66139,4.44437,2.22568,0.00991711,0.00991711,0.00991711
9,743.272,2.88937,3.53942,2.37931,0.14956,0.02795,0.03104,0.01148,2.5007,4.72501,2.09929,0.00989183,0.00989183,0.00989183
10,825.483,2.85774,3.46028,2.36075,0.17322,0.05834,0.03897,0.01435,2.47713,6.53013,2.05837,0.00986323,0.00986323,0.00986323
11,907.776,2.80439,3.40369,2.33048,0.2199,0.06516,0.04722,0.01844,2.36368,4.00423,1.96003,0.00983133,0.00983133,0.00983133
12,988.304,2.77126,3.3698,2.28861,0.15298,0.08019,0.05009,0.0187,2.38519,3.9326,2.00612,0.00979616,0.00979616,0.00979616
13,1070.18,2.72415,3.31049,2.27488,0.16682,0.09969,0.06483,0.02481,2.3284,7.74736,1.90941,0.00975773,0.00975773,0.00975773
14,1152.27,2.71348,3.28082,2.26484,0.14321,0.08803,0.05883,0.02105,2.32157,4.92761,1.91813,0.00971608,0.00971608,0.00971608
15,1234.13,2.68272,3.2401,2.25613,0.25396,0.10546,0.07749,0.02897,2.23799,6.62408,1.88599,0.00967122,0.00967122,0.00967122
16,1316.08,2.64599,3.19737,2.22213,0.29386,0.10881,0.07714,0.03076,2.22611,5.11218,1.89597,0.0096232,0.0096232,0.0096232
17,1398.32,2.63056,3.16936,2.21062,0.20531,0.11942,0.08107,0.03125,2.20655,6.26137,1.85502,0.00957205,0.00957205,0.00957205
18,1479.6,2.60919,3.14409,2.19794,0.27291,0.11612,0.08435,0.03365,2.20476,6.52075,1.86084,0.0095178,0.0095178,0.0095178
19,1561.08,2.59578,3.10395,2.1742,0.25528,0.10866,0.08351,0.03173,2.17487,3.68149,1.81894,0.00946048,0.00946048,0.00946048
20,1642.62,2.56476,3.10307,2.16622,0.22071,0.12033,0.0908,0.03512,2.16212,3.99736,1.84,0.00940014,0.00940014,0.00940014
21,1723.95,2.55121,3.07533,2.14696,0.20132,0.12869,0.08927,0.03644,2.12218,4.54377,1.78701,0.00933683,0.00933683,0.00933683
22,1806.22,2.53611,3.0354,2.13122,0.23583,0.15384,0.10652,0.04098,2.11591,8.14337,1.79291,0.00927057,0.00927057,0.00927057
23,1889.14,2.51545,3.01214,2.11747,0.24527,0.1326,0.09921,0.04239,2.1554,4.37713,1.80032,0.00920142,0.00920142,0.00920142
24,1971.16,2.4913,3.01119,2.10124,0.20016,0.13498,0.08844,0.03558,2.12984,5.33218,1.78443,0.00912942,0.00912942,0.00912942
25,2052.77,2.49001,2.99301,2.0887,0.25922,0.15039,0.11479,0.04539,2.09245,3.75491,1.76579,0.00905463,0.00905463,0.00905463
26,2135.28,2.48314,2.95854,2.08739,0.25414,0.15564,0.1195,0.04836,2.07141,5.26034,1.72984,0.0089771,0.0089771,0.0089771
27,2217.66,2.45704,2.92999,2.07232,0.22628,0.1499,0.11077,0.04521,2.08956,5.54914,1.76776,0.00889687,0.00889687,0.00889687
28,2299.42,2.45368,2.9138,2.07432,0.22196,0.1566,0.11289,0.04616,2.08154,6.11982,1.75108,0.00881401,0.00881401,0.00881401
29,2380.19,2.42867,2.89926,2.05028,0.23367,0.16065,0.11975,0.04861,2.03761,6.03264,1.72139,0.00872857,0.00872857,0.00872857
30,2462.15,2.43548,2.8769,2.04567,0.27795,0.1664,0.13692,0.05613,2.05081,4.86173,1.7059,0.0086406,0.0086406,0.0086406
31,2543.78,2.3924,2.84619,2.02044,0.24982,0.16497,0.13395,0.05418,2.02175,4.90215,1.72736,0.00855018,0.00855018,0.00855018
32,2623.93,2.38758,2.82688,2.02131,0.2468,0.18245,0.13612,0.05551,2.01384,5.65949,1.7167,0.00845736,0.00845736,0.00845736
33,2705.92,2.37557,2.82475,2.00542,0.26797,0.17437,0.14244,0.06177,2.01869,5.80227,1.71438,0.0083622,0.0083622,0.0083622
34,2787.96,2.34373,2.78716,1.99269,0.26539,0.17967,0.14131,0.05901,2.02458,4.17264,1.71033,0.00826477,0.00826477,0.00826477
35,2869.71,2.36353,2.77815,1.98732,0.2907,0.19052,0.15444,0.06511,1.97141,5.14696,1.66591,0.00816514,0.00816514,0.00816514
36,2952.41,2.35762,2.77493,1.99399,0.33387,0.19993,0.16126,0.0682,1.96457,4.65539,1.67704,0.00806337,0.00806337,0.00806337
