epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.005,2.2127,3.58431,1.78216,0.27831,0.23466,0.17496,0.0769,1.7553,11.2856,1.42976,0.003331,0.003331,0.003331
2,560.708,2.06038,2.62683,1.66147,0.27957,0.21837,0.16459,0.07139,1.82769,9.83755,1.47384,0.00664234,0.00664234,0.00664234
3,832.68,2.17133,2.59298,1.76996,0.25318,0.19288,0.13773,0.0594,1.98786,13.2048,1.64149,0.00993168,0.00993168,0.00993168
4,1096.72,2.21312,2.5938,1.82499,0.29065,0.22653,0.17275,0.07765,1.82341,8.84643,1.5401,0.009901,0.009901,0.009901
5,1362.84,2.11832,2.45843,1.7738,0.32578,0.24762,0.20568,0.09503,1.76345,7.29339,1.50544,0.009868,0.009868,0.009868
6,1626.09,2.03557,2.3629,1.7195,0.37485,0.26801,0.23892,0.11396,1.67738,7.08056,1.46231,0.009835,0.009835,0.009835
7,1886.27,1.99178,2.28956,1.69339,0.36871,0.28914,0.25266,0.12215,1.65609,7.11039,1.43236,0.009802,0.009802,0.009802
8,2151.34,1.93915,2.23091,1.66226,0.39578,0.3025,0.2753,0.13375,1.60198,7.16361,1.39337,0.009769,0.009769,0.009769
9,2415.79,1.91301,2.1811,1.63511,0.41735,0.32056,0.29476,0.14794,1.5745,6.1217,1.37223,0.009736,0.009736,0.009736
10,2683.31,1.88259,2.13046,1.61487,0.44401,0.32278,0.30714,0.1568,1.54017,6.43493,1.36522,0.009703,0.009703,0.009703
11,2951.19,1.85507,2.10519,1.60214,0.44526,0.34359,0.32425,0.16575,1.52517,6.85883,1.35241,0.00967,0.00967,0.00967
12,3213.24,1.84293,2.07269,1.58861,0.45181,0.34172,0.32782,0.1724,1.50954,6.61466,1.3361,0.009637,0.009637,0.009637
13,3481.32,1.8145,2.03596,1.56928,0.45033,0.34775,0.334,0.17568,1.48251,6.36667,1.32045,0.009604,0.009604,0.009604
14,3744.44,1.80085,2.01624,1.55276,0.45818,0.36013,0.34577,0.18117,1.48728,6.05633,1.31391,0.009571,0.009571,0.009571
