epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.2188,1.34365,2.11548,1.30779,0.43766,0.26908,0.24334,0.09313,2.05485,2.75444,1.86481,0.000663805,0.000663805,0.000663805
2,67.4472,1.36925,1.5342,1.29962,0.57413,0.54217,0.48593,0.21846,1.83379,1.91725,1.58306,0.0013173,0.0013173,0.0013173
3,98.8624,1.35488,1.41952,1.29919,0.4292,0.50602,0.3588,0.14237,1.92095,2.06761,1.74209,0.0019576,0.0019576,0.0019576
4,129.703,1.30027,1.30912,1.2714,0.61846,0.59891,0.55797,0.23993,1.67667,1.69035,1.49718,0.0019406,0.0019406,0.0019406
5,160.562,1.24081,1.24234,1.24221,0.5534,0.56627,0.5377,0.29706,1.5618,1.72765,1.38232,0.0019208,0.0019208,0.0019208
6,191.791,1.18645,1.18166,1.21783,0.60223,0.62249,0.56462,0.31959,1.49666,1.65756,1.39681,0.001901,0.001901,0.001901
7,222.712,1.16151,1.14158,1.20605,0.64682,0.58105,0.6077,0.35318,1.47201,1.47706,1.40989,0.0018812,0.0018812,0.0018812
8,253.657,1.1128,1.07343,1.18045,0.70757,0.68273,0.66863,0.39821,1.37783,1.33856,1.27936,0.0018614,0.0018614,0.0018614
9,284.608,1.10329,1.06734,1.18106,0.63441,0.6747,0.62126,0.37866,1.3638,1.36011,1.29359,0.0018416,0.0018416,0.0018416
10,315.319,1.07274,1.03047,1.16743,0.76094,0.71585,0.73031,0.44956,1.28425,1.26684,1.25401,0.0018218,0.0018218,0.0018218
11,346.314,1.06765,0.99902,1.16207,0.73234,0.66667,0.70145,0.43272,1.28763,1.2595,1.2277,0.001802,0.001802,0.001802
12,378.125,1.06155,1.01855,1.16737,0.70607,0.65462,0.68661,0.43113,1.35362,1.3561,1.32679,0.0017822,0.0017822,0.0017822
13,408.861,1.05418,0.98716,1.16197,0.70574,0.65863,0.67623,0.4206,1.324,1.34079,1.32192,0.0017624,0.0017624,0.0017624
14,439.72,1.02285,0.96224,1.14945,0.71169,0.71888,0.68912,0.4467,1.27142,1.29548,1.24401,0.0017426,0.0017426,0.0017426
15,470.472,1.0172,0.96145,1.14105,0.78465,0.71701,0.72177,0.45744,1.27892,1.29703,1.29805,0.0017228,0.0017228,0.0017228
16,501.441,1.00389,0.93653,1.14235,0.76851,0.68273,0.7484,0.50066,1.22273,1.20408,1.20887,0.001703,0.001703,0.001703
17,532.043,0.98684,0.92564,1.12549,0.80076,0.65462,0.73331,0.49681,1.18214,1.20111,1.17592,0.0016832,0.0016832,0.0016832
18,563.3,0.97628,0.90581,1.12207,0.8304,0.71888,0.77734,0.52529,1.14957,1.10444,1.16484,0.0016634,0.0016634,0.0016634
19,594.19,0.9875,0.92643,1.12613,0.70679,0.6988,0.72684,0.48737,1.15611,1.16928,1.1956,0.0016436,0.0016436,0.0016436
20,624.889,0.97215,0.8875,1.12393,0.72484,0.74054,0.74343,0.50829,1.11929,1.19892,1.1161,0.0016238,0.0016238,0.0016238
21,655.703,0.97217,0.90814,1.12394,0.79272,0.69115,0.75574,0.48586,1.23792,1.19813,1.17493,0.001604,0.001604,0.001604
22,686.532,0.94626,0.87683,1.11407,0.81252,0.73092,0.76207,0.51873,1.18986,1.14472,1.17286,0.0015842,0.0015842,0.0015842
23,717.22,0.93553,0.85399,1.10421,0.78597,0.69076,0.74304,0.49069,1.2115,1.18143,1.18536,0.0015644,0.0015644,0.0015644
24,748.5,0.95091,0.89474,1.11948,0.76267,0.72289,0.76688,0.52006,1.12882,1.15018,1.11791,0.0015446,0.0015446,0.0015446
25,779.304,0.94587,0.86499,1.11259,0.79696,0.72691,0.76954,0.5186,1.10232,1.11909,1.12637,0.0015248,0.0015248,0.0015248
26,810.322,0.93386,0.85592,1.10636,0.76628,0.76305,0.7514,0.50532,1.12582,1.1309,1.12599,0.001505,0.001505,0.001505
27,841.626,0.95471,0.86196,1.11221,0.81906,0.6908,0.76387,0.53793,1.1293,1.062,1.1441,0.0014852,0.0014852,0.0014852
28,872.418,0.92017,0.84438,1.10277,0.79211,0.68861,0.76869,0.53541,1.05013,1.09421,1.09645,0.0014654,0.0014654,0.0014654
29,903.523,0.90731,0.82139,1.09086,0.85266,0.67397,0.7577,0.54451,1.10651,1.075,1.10531,0.0014456,0.0014456,0.0014456
30,934.681,0.91516,0.83753,1.09645,0.81416,0.72136,0.78937,0.58,1.01542,0.99812,1.0776,0.0014258,0.0014258,0.0014258
31,965.837,0.90602,0.81683,1.0956,0.82383,0.73494,0.77952,0.56559,1.05973,1.05026,1.1067,0.001406,0.001406,0.001406
32,996.743,0.91724,0.82427,1.09895,0.78679,0.69654,0.76762,0.5546,1.04238,1.0717,1.08616,0.0013862,0.0013862,0.0013862
33,1027.73,0.91079,0.81068,1.09409,0.77063,0.73896,0.75487,0.54857,1.05079,1.07834,1.07162,0.0013664,0.0013664,0.0013664
34,1058.45,0.89455,0.81776,1.08517,0.87557,0.6988,0.79921,0.59108,1.01022,1.00708,1.05967,0.0013466,0.0013466,0.0013466
35,1089.63,0.88505,0.78856,1.08391,0.80039,0.73092,0.77902,0.56966,1.03547,1.0556,1.08587,0.0013268,0.0013268,0.0013268
36,1120.66,0.89492,0.80834,1.08893,0.79428,0.7133,0.75915,0.54491,1.04738,1.06423,1.06899,0.001307,0.001307,0.001307
37,1151.53,0.88777,0.7906,1.07844,0.83542,0.73092,0.80056,0.57682,1.03539,1.04419,1.0842,0.0012872,0.0012872,0.0012872
38,1182.46,0.88672,0.78472,1.082,0.83016,0.72634,0.7944,0.57235,1.0634,1.0242,1.07336,0.0012674,0.0012674,0.0012674
39,1212.86,0.88894,0.79295,1.08396,0.81814,0.72269,0.78591,0.58009,0.99184,1.00727,1.03998,0.0012476,0.0012476,0.0012476
40,1243.33,0.87648,0.78114,1.07769,0.79779,0.73494,0.7979,0.59338,0.97793,1.02101,1.04063,0.0012278,0.0012278,0.0012278
41,1274.4,0.86389,0.77585,1.06872,0.81549,0.74551,0.78925,0.58351,1.01769,0.98527,1.05512,0.001208,0.001208,0.001208
42,1305.02,0.87137,0.78216,1.07286,0.86644,0.72691,0.80484,0.58674,1.00567,0.96408,1.06368,0.0011882,0.0011882,0.0011882
43,1335.96,0.85663,0.77191,1.06729,0.81886,0.71888,0.78417,0.54768,1.03423,1.04095,1.07642,0.0011684,0.0011684,0.0011684
44,1367.01,0.86866,0.7774,1.07863,0.79982,0.72691,0.77063,0.56268,1.03167,1.00345,1.06061,0.0011486,0.0011486,0.0011486
45,1397.73,0.86403,0.76525,1.07399,0.82313,0.72691,0.80324,0.59759,0.95736,0.97241,1.01725,0.0011288,0.0011288,0.0011288
46,1428.72,0.85688,0.75649,1.06822,0.8378,0.71084,0.78828,0.58725,1.02948,1.00931,1.07568,0.001109,0.001109,0.001109
47,1459.56,0.85696,0.7644,1.06586,0.82544,0.72167,0.78617,0.57402,0.9841,0.96564,1.05867,0.0010892,0.0010892,0.0010892
48,1490.35,0.85018,0.74249,1.0657,0.8388,0.70281,0.78682,0.57066,1.03248,1.00565,1.04126,0.0010694,0.0010694,0.0010694
49,1521.37,0.83407,0.71972,1.05978,0.85423,0.6747,0.77897,0.5805,0.98077,0.98891,1.05717,0.0010496,0.0010496,0.0010496
50,1551.6,0.84973,0.7329,1.06775,0.78988,0.78508,0.80422,0.58932,1.02868,0.97242,1.06491,0.0010298,0.0010298,0.0010298
51,1581.58,0.84164,0.74724,1.06016,0.82897,0.69478,0.7744,0.56535,0.97478,0.98692,1.04643,0.00101,0.00101,0.00101
52,1611.46,0.83668,0.72694,1.06305,0.78172,0.75502,0.80163,0.59763,0.97417,0.95947,1.0307,0.0009902,0.0009902,0.0009902
53,1641.29,0.82749,0.72831,1.05356,0.79199,0.751,0.79301,0.59085,0.921,0.96432,1.017,0.0009704,0.0009704,0.0009704
54,1671.35,0.837,0.71426,1.05777,0.81001,0.77108,0.79717,0.58946,0.96845,0.97203,1.04861,0.0009506,0.0009506,0.0009506
55,1701.49,0.8292,0.7132,1.05168,0.82874,0.73494,0.79798,0.59475,0.98425,0.95905,1.05237,0.0009308,0.0009308,0.0009308
56,1731.31,0.82771,0.71442,1.05563,0.84268,0.73896,0.80129,0.59565,0.96026,0.95831,1.03687,0.000911,0.000911,0.000911
57,1761,0.81246,0.70843,1.04919,0.84324,0.74297,0.82142,0.62112,0.95121,0.93928,1.02653,0.0008912,0.0008912,0.0008912
58,1791.1,0.82285,0.70302,1.05105,0.79765,0.75988,0.77987,0.58263,0.93097,0.94353,1.05055,0.0008714,0.0008714,0.0008714
59,1821.49,0.82524,0.71415,1.05059,0.78004,0.76707,0.78942,0.59028,0.94367,0.9329,1.03958,0.0008516,0.0008516,0.0008516
60,1851.72,0.80607,0.68066,1.04403,0.83475,0.751,0.8034,0.59949,0.92323,0.90865,1.01979,0.0008318,0.0008318,0.0008318
61,1881.99,0.80208,0.67525,1.04239,0.79792,0.74532,0.78652,0.59557,0.91568,0.9345,1.0127,0.000812,0.000812,0.000812
62,1912.19,0.81173,0.69344,1.05017,0.8266,0.751,0.78383,0.58057,0.96999,0.9551,1.0287,0.0007922,0.0007922,0.0007922
63,1943.47,0.7931,0.66962,1.03942,0.80537,0.71486,0.76893,0.5698,0.95039,0.97231,1.04552,0.0007724,0.0007724,0.0007724
64,1973.57,0.8028,0.67612,1.04172,0.75638,0.76305,0.77167,0.58611,0.90705,0.9347,1.02566,0.0007526,0.0007526,0.0007526
65,2003.32,0.79196,0.67129,1.03339,0.78464,0.77552,0.7848,0.59284,0.92774,0.90275,1.01248,0.0007328,0.0007328,0.0007328
66,2033.95,0.79707,0.67775,1.03988,0.83957,0.76305,0.82646,0.62036,0.91773,0.86333,1.01797,0.000713,0.000713,0.000713
67,2064.32,0.79366,0.65722,1.04183,0.82256,0.72289,0.78478,0.59464,0.90184,0.92852,1.00676,0.0006932,0.0006932,0.0006932
68,2094.09,0.78904,0.66414,1.03813,0.83402,0.7265,0.78365,0.59718,0.89771,0.92989,1.01276,0.0006734,0.0006734,0.0006734
69,2123.72,0.79101,0.66276,1.03674,0.78683,0.75601,0.7873,0.60268,0.91794,0.89226,1.0118,0.0006536,0.0006536,0.0006536
70,2153.82,0.79205,0.65784,1.03849,0.76425,0.76707,0.78102,0.59078,0.90999,0.89992,1.02054,0.0006338,0.0006338,0.0006338
