epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.3771,2.22354,3.91802,1.72526,0.20055,0.18454,0.09842,0.03839,1.87923,17.492,1.49566,0.000475049,0.000475049,0.000475049
2,83.7677,2.23516,3.08913,1.78649,0.15989,0.16901,0.08142,0.03363,1.81329,12.3633,1.4817,0.000941964,0.000941964,0.000941964
3,122.221,2.25209,2.93101,1.81169,0.17744,0.14223,0.08901,0.03843,1.83243,14.883,1.49258,0.00139945,0.00139945,0.00139945
4,159.534,2.21298,2.84253,1.79972,0.24692,0.2025,0.13218,0.05398,1.80528,20.374,1.50625,0.00138656,0.00138656,0.00138656
5,197.106,2.15219,2.74155,1.7453,0.30403,0.19089,0.15675,0.06472,1.73541,7.78895,1.39935,0.00137241,0.00137241,0.00137241
6,233.943,2.09527,2.68927,1.70813,0.3073,0.19698,0.15133,0.06765,1.68599,8.94093,1.39125,0.00135826,0.00135826,0.00135826
7,270.119,2.0693,2.64138,1.68665,0.33251,0.23259,0.18517,0.08223,1.64928,12.0839,1.33896,0.00134412,0.00134412,0.00134412
8,306.17,2.03267,2.58714,1.65999,0.33663,0.25453,0.19749,0.08655,1.61875,9.38592,1.32957,0.00132997,0.00132997,0.00132997
9,342.045,2.0019,2.56816,1.65791,0.30634,0.24456,0.18279,0.07934,1.66492,9.13272,1.34974,0.00131582,0.00131582,0.00131582
10,378.465,1.98589,2.53715,1.63521,0.33215,0.25763,0.20317,0.08749,1.60406,7.27477,1.3139,0.00130168,0.00130168,0.00130168
11,414.497,1.97665,2.50063,1.61999,0.35183,0.26505,0.21548,0.09536,1.57819,6.90896,1.29143,0.00128753,0.00128753,0.00128753
12,450.516,1.95622,2.46952,1.60857,0.32547,0.26161,0.21304,0.09626,1.55671,8.50964,1.27761,0.00127338,0.00127338,0.00127338
13,486.858,1.93385,2.43919,1.59199,0.36603,0.25301,0.21412,0.09493,1.59347,9.35878,1.29979,0.00125923,0.00125923,0.00125923
14,523.022,1.9293,2.43416,1.58519,0.37229,0.2893,0.23386,0.10385,1.5852,9.24333,1.29142,0.00124509,0.00124509,0.00124509
15,559.354,1.92164,2.4171,1.57033,0.35558,0.29873,0.23914,0.10909,1.54341,13.4058,1.24787,0.00123094,0.00123094,0.00123094
16,595.515,1.91189,2.39395,1.56205,0.38225,0.27152,0.23809,0.11012,1.54794,10.3616,1.27575,0.00121679,0.00121679,0.00121679
17,631.634,1.88418,2.36691,1.55635,0.36858,0.2895,0.24623,0.11194,1.5463,8.03337,1.25505,0.00120265,0.00120265,0.00120265
18,668.234,1.87917,2.34897,1.54879,0.39223,0.29128,0.24832,0.11575,1.53712,7.86287,1.27086,0.0011885,0.0011885,0.0011885
19,704.43,1.86342,2.34409,1.53829,0.39688,0.28687,0.24765,0.11485,1.56904,8.59252,1.29191,0.00117435,0.00117435,0.00117435
20,740.673,1.86052,2.31978,1.53046,0.3756,0.28782,0.24913,0.11423,1.54605,9.43658,1.27139,0.00116021,0.00116021,0.00116021
21,776.804,1.86368,2.30131,1.53458,0.3931,0.28724,0.2507,0.11617,1.54341,9.73843,1.25524,0.00114606,0.00114606,0.00114606
22,812.637,1.85105,2.30607,1.52656,0.37113,0.29051,0.24648,0.11445,1.55434,10.1392,1.26444,0.00113191,0.00113191,0.00113191
23,848.449,1.8304,2.27647,1.5218,0.38818,0.29834,0.25876,0.12094,1.53003,10.6282,1.24326,0.00111776,0.00111776,0.00111776
24,884.763,1.81955,2.27005,1.50565,0.39667,0.28978,0.25525,0.11928,1.51863,9.89222,1.23974,0.00110362,0.00110362,0.00110362
25,920.906,1.81508,2.2449,1.50473,0.36794,0.31332,0.2434,0.11485,1.52876,7.9639,1.23143,0.00108947,0.00108947,0.00108947
26,956.566,1.80636,2.23947,1.49609,0.37013,0.30429,0.25673,0.12306,1.53023,6.50961,1.22974,0.00107532,0.00107532,0.00107532
27,992.57,1.7957,2.2074,1.49485,0.38744,0.3215,0.2681,0.12665,1.49702,8.83254,1.22715,0.00106118,0.00106118,0.00106118
28,1028.84,1.80964,2.22355,1.49776,0.38323,0.32341,0.2744,0.12626,1.4969,9.83625,1.22506,0.00104703,0.00104703,0.00104703
29,1065.01,1.78374,2.17265,1.47731,0.4235,0.29676,0.2716,0.13268,1.4771,9.26135,1.21594,0.00103288,0.00103288,0.00103288
