epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.994,2.37283,3.94176,1.84164,0.25542,0.16257,0.12419,0.05294,1.93099,10.6996,1.52875,0.003331,0.003331,0.003331
2,269.005,2.26636,2.98461,1.7664,0.22477,0.1777,0.11515,0.04899,1.99783,8.64706,1.56369,0.00665114,0.00665114,0.00665114
3,394.49,2.32915,2.83906,1.84696,0.17814,0.16476,0.10062,0.04204,2.02411,15.4251,1.63564,0.00995807,0.00995807,0.00995807
4,518.144,2.34579,2.78531,1.88187,0.255,0.18989,0.14035,0.06038,1.90796,8.30156,1.58843,0.0099406,0.0099406,0.0099406
5,642.205,2.26081,2.6678,1.8267,0.27294,0.2104,0.15732,0.06835,1.85681,8.49129,1.56403,0.0099208,0.0099208,0.0099208
6,766.549,2.18997,2.58284,1.77141,0.2948,0.21533,0.17334,0.07663,1.83008,6.88536,1.50529,0.009901,0.009901,0.009901
7,890.883,2.14595,2.51559,1.74461,0.32778,0.23333,0.19184,0.08751,1.78096,6.19736,1.45123,0.0098812,0.0098812,0.0098812
8,1015.17,2.11151,2.46793,1.71971,0.35145,0.24275,0.21046,0.09832,1.73226,5.90949,1.44598,0.0098614,0.0098614,0.0098614
9,1138.86,2.08042,2.43577,1.70382,0.35317,0.25197,0.22,0.10475,1.70443,6.00111,1.42751,0.0098416,0.0098416,0.0098416
10,1262.66,2.06039,2.39498,1.68464,0.3635,0.26712,0.22945,0.10892,1.69028,8.27104,1.41138,0.0098218,0.0098218,0.0098218
11,1387.2,2.03127,2.38337,1.67341,0.37361,0.26808,0.23477,0.11375,1.67089,6.36213,1.39558,0.009802,0.009802,0.009802
12,1511.26,2.02438,2.3523,1.65382,0.37453,0.2808,0.24949,0.12142,1.65343,6.65916,1.37652,0.0097822,0.0097822,0.0097822
13,1634.63,2.00529,2.32626,1.64615,0.3849,0.28189,0.25208,0.12505,1.62114,6.47104,1.34656,0.0097624,0.0097624,0.0097624
14,1757.83,1.99478,2.30687,1.62746,0.38273,0.28568,0.25673,0.12751,1.60853,6.30958,1.34233,0.0097426,0.0097426,0.0097426
15,1882.08,1.97821,2.28734,1.62093,0.39893,0.29306,0.26811,0.13287,1.60502,6.54898,1.34285,0.0097228,0.0097228,0.0097228
16,2006.77,1.97069,2.27445,1.60697,0.40467,0.29415,0.27306,0.13571,1.5831,6.94727,1.31189,0.009703,0.009703,0.009703
17,2132.73,1.9566,2.25907,1.59666,0.41165,0.30454,0.27841,0.1394,1.58266,5.9893,1.31561,0.0096832,0.0096832,0.0096832
18,2256.42,1.95136,2.25359,1.59199,0.40765,0.31067,0.28358,0.14292,1.5735,6.03122,1.30924,0.0096634,0.0096634,0.0096634
19,2380.26,1.95066,2.24169,1.58901,0.41536,0.30654,0.28512,0.14656,1.55486,6.08601,1.29383,0.0096436,0.0096436,0.0096436
20,2503.03,1.93522,2.22357,1.57557,0.4156,0.31654,0.29124,0.14997,1.5432,6.606,1.28382,0.0096238,0.0096238,0.0096238
21,2626.42,1.92838,2.21054,1.57528,0.43228,0.31966,0.29956,0.15414,1.53774,6.26613,1.28311,0.009604,0.009604,0.009604
22,2749.32,1.9171,2.19055,1.56666,0.43818,0.31988,0.30616,0.15862,1.52841,6.26204,1.27696,0.0095842,0.0095842,0.0095842
23,2871.82,1.91997,2.19782,1.56658,0.43987,0.32494,0.30574,0.15922,1.52426,5.98516,1.27646,0.0095644,0.0095644,0.0095644
24,2994.21,1.91094,2.18009,1.55726,0.45095,0.32639,0.31168,0.16233,1.51479,5.98277,1.26551,0.0095446,0.0095446,0.0095446
25,3117.73,1.90109,2.17588,1.55737,0.43767,0.33119,0.31414,0.16411,1.51205,6.0563,1.2608,0.0095248,0.0095248,0.0095248
26,3240.34,1.89321,2.16078,1.5497,0.44328,0.33376,0.31662,0.16646,1.50826,5.99571,1.26038,0.009505,0.009505,0.009505
27,3362.85,1.89408,2.16023,1.54706,0.45057,0.33299,0.31889,0.16811,1.50039,6.08783,1.25287,0.0094852,0.0094852,0.0094852
28,3485.74,1.88481,2.14196,1.53851,0.45371,0.33783,0.32212,0.17022,1.49596,5.9588,1.24543,0.0094654,0.0094654,0.0094654
29,3608.35,1.87718,2.13064,1.53587,0.45223,0.34201,0.32518,0.17227,1.48786,6.04437,1.24535,0.0094456,0.0094456,0.0094456
30,3730.96,1.88177,2.13268,1.5291,0.45555,0.34467,0.32795,0.1734,1.48532,6.02589,1.24354,0.0094258,0.0094258,0.0094258
31,3854.34,1.87026,2.12397,1.53342,0.46428,0.34134,0.32955,0.17542,1.47842,6.11093,1.24393,0.009406,0.009406,0.009406
32,3978.1,1.86191,2.12688,1.52744,0.46422,0.34399,0.33161,0.17671,1.47369,6.13695,1.23902,0.0093862,0.0093862,0.0093862
33,4099.94,1.86602,2.11878,1.52629,0.47474,0.34269,0.33473,0.17713,1.47125,6.10441,1.23728,0.0093664,0.0093664,0.0093664
34,4222.15,1.86302,2.10509,1.5244,0.46519,0.34413,0.33458,0.17771,1.46717,6.26245,1.23464,0.0093466,0.0093466,0.0093466
35,4344.42,1.85689,2.10169,1.51663,0.46465,0.34589,0.33597,0.17983,1.46086,6.25897,1.2292,0.0093268,0.0093268,0.0093268
36,4466.31,1.85886,2.09313,1.51639,0.46622,0.35105,0.33796,0.18112,1.45995,6.2394,1.22582,0.009307,0.009307,0.009307
37,4589.25,1.85404,2.09319,1.51285,0.46477,0.3554,0.34133,0.18193,1.45937,6.28589,1.22376,0.0092872,0.0092872,0.0092872
38,4711.69,1.84912,2.08666,1.51216,0.47005,0.35563,0.34246,0.1833,1.4574,6.2935,1.2223,0.0092674,0.0092674,0.0092674
39,4834.11,1.84622,2.08039,1.51144,0.47617,0.35692,0.34413,0.18412,1.4542,6.34986,1.22165,0.0092476,0.0092476,0.0092476
40,4956.59,1.84314,2.06918,1.50377,0.47905,0.35546,0.34538,0.18522,1.45178,6.33598,1.21961,0.0092278,0.0092278,0.0092278
41,5078.97,1.83528,2.0613,1.49975,0.47539,0.35587,0.34529,0.18574,1.44857,6.3624,1.21787,0.009208,0.009208,0.009208
42,5202.78,1.83284,2.05563,1.49713,0.47987,0.35607,0.34687,0.18701,1.44617,6.3522,1.2163,0.0091882,0.0091882,0.0091882
43,5325.11,1.8338,2.05149,1.49926,0.47861,0.35658,0.34769,0.18756,1.44528,6.37919,1.21553,0.0091684,0.0091684,0.0091684
44,5447.56,1.8336,2.04961,1.4901,0.47535,0.3599,0.3483,0.18813,1.44245,6.35857,1.21387,0.0091486,0.0091486,0.0091486
45,5569.86,1.82126,2.04302,1.48735,0.4767,0.36056,0.34972,0.18887,1.44087,6.39484,1.21236,0.0091288,0.0091288,0.0091288
46,5692.61,1.82442,2.04656,1.49073,0.47846,0.36309,0.35139,0.18989,1.43872,6.38173,1.21033,0.009109,0.009109,0.009109
47,5815.59,1.81634,2.03514,1.48314,0.47694,0.36235,0.35133,0.19002,1.43767,6.41378,1.20954,0.0090892,0.0090892,0.0090892
48,5938.3,1.81293,2.02611,1.47837,0.4789,0.36197,0.35143,0.19045,1.43657,6.40841,1.20828,0.0090694,0.0090694,0.0090694
49,6060.35,1.81074,2.02774,1.48215,0.48335,0.36196,0.35199,0.19101,1.43631,6.38211,1.2077,0.0090496,0.0090496,0.0090496
50,6182.63,1.81184,2.02142,1.4771,0.48436,0.36026,0.35302,0.19134,1.43514,6.37389,1.20649,0.0090298,0.0090298,0.0090298
51,6305.58,1.8136,2.01906,1.47726,0.48499,0.36079,0.35368,0.19187,1.43434,6.38125,1.20532,0.00901,0.00901,0.00901
52,6429.22,1.80359,2.01975,1.47358,0.48852,0.35858,0.35454,0.19224,1.43323,6.39153,1.20497,0.0089902,0.0089902,0.0089902
53,6552.21,1.8088,2.01139,1.47052,0.48744,0.35878,0.35472,0.1928,1.43205,6.41466,1.20445,0.0089704,0.0089704,0.0089704
