epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.2132,2.52208,5.11945,1.98015,0.3735,0.03928,0.01402,0.00597,1.96942,25.0417,1.5676,0.00332667,0.00332667,0.00332667
2,104.708,2.62549,4.34117,2.00978,0.11332,0.08629,0.02991,0.01002,2.18456,12.341,1.73847,0.00659407,0.00659407,0.00659407
3,150.722,2.76059,3.85461,2.13747,0.09531,0.04417,0.01898,0.00769,2.34367,6.64042,1.88501,0.00979547,0.00979547,0.00979547
4,196.089,2.87753,3.75607,2.24395,0.12346,0.05979,0.03106,0.01217,2.30379,6.38318,1.80099,0.009703,0.009703,0.009703
5,241.652,2.7649,3.59535,2.16589,0.21804,0.07015,0.04289,0.01696,2.17386,9.02403,1.80197,0.009604,0.009604,0.009604
6,287.246,2.67109,3.48711,2.12822,0.1481,0.08509,0.04971,0.02059,2.07579,8.7855,1.70309,0.009505,0.009505,0.009505
7,332.897,2.61963,3.43037,2.0926,0.1756,0.10097,0.05952,0.02606,2.02223,5.66527,1.64297,0.009406,0.009406,0.009406
8,378.256,2.5935,3.38084,2.05328,0.17445,0.11623,0.06346,0.0261,2.0202,12.7701,1.64201,0.009307,0.009307,0.009307
9,423.645,2.53205,3.28105,2.00202,0.19492,0.11491,0.06662,0.02846,1.97256,7.84596,1.62472,0.009208,0.009208,0.009208
10,469.52,2.50669,3.26988,2.01705,0.17226,0.11047,0.0542,0.02194,2.02367,6.09174,1.67964,0.009109,0.009109,0.009109
11,514.634,2.48824,3.22265,1.99374,0.21251,0.12214,0.07594,0.03522,1.92558,5.58856,1.59876,0.00901,0.00901,0.00901
12,560.361,2.43114,3.17952,1.94766,0.21849,0.12636,0.07617,0.0309,1.9397,7.08904,1.58114,0.008911,0.008911,0.008911
13,605.784,2.42168,3.12322,1.92954,0.2457,0.14151,0.0892,0.03817,1.91323,8.76122,1.56509,0.008812,0.008812,0.008812
14,650.998,2.39707,3.09458,1.9202,0.21987,0.1569,0.09406,0.04125,1.86146,11.9237,1.56732,0.008713,0.008713,0.008713
15,696.577,2.38056,3.11544,1.9219,0.24622,0.14628,0.10106,0.04416,1.8576,7.05483,1.54795,0.008614,0.008614,0.008614
16,741.792,2.36354,3.06884,1.88744,0.26035,0.14753,0.10119,0.04638,1.86569,6.12004,1.51973,0.008515,0.008515,0.008515
17,787.412,2.3676,3.05448,1.88326,0.24328,0.14361,0.10218,0.04935,1.83999,5.56137,1.52941,0.008416,0.008416,0.008416
18,832.781,2.33602,3.04433,1.87886,0.25497,0.16148,0.10365,0.04832,1.81656,5.84764,1.52185,0.008317,0.008317,0.008317
19,878.003,2.31191,3.00517,1.85783,0.24873,0.15905,0.10805,0.05141,1.79996,5.1722,1.48707,0.008218,0.008218,0.008218
20,923.577,2.31538,2.99096,1.85816,0.2566,0.15513,0.11146,0.0532,1.78921,6.1838,1.47299,0.008119,0.008119,0.008119
21,969.327,2.30056,3.00322,1.85405,0.25587,0.157,0.11157,0.05369,1.79456,5.89472,1.49293,0.00802,0.00802,0.00802
22,1014.56,2.2858,2.95291,1.84606,0.24811,0.17567,0.12004,0.056,1.77167,8.3603,1.46815,0.007921,0.007921,0.007921
23,1059.98,2.29543,2.95964,1.83703,0.24234,0.17576,0.11413,0.0531,1.75545,8.87397,1.45559,0.007822,0.007822,0.007822
24,1105.29,2.28149,2.9522,1.83995,0.26498,0.17005,0.13107,0.05962,1.75907,8.30218,1.45803,0.007723,0.007723,0.007723
25,1150.81,2.24989,2.92536,1.81148,0.29361,0.16809,0.12914,0.06066,1.7388,7.42482,1.44673,0.007624,0.007624,0.007624
26,1196.07,2.22518,2.89494,1.79762,0.24404,0.17705,0.11838,0.05573,1.73894,7.8436,1.46282,0.007525,0.007525,0.007525
27,1241.64,2.22826,2.9006,1.79713,0.27967,0.18379,0.12515,0.05808,1.71596,6.31229,1.43473,0.007426,0.007426,0.007426
28,1287.3,2.22824,2.87716,1.79996,0.25944,0.16974,0.11409,0.05457,1.72957,6.14198,1.44057,0.007327,0.007327,0.007327
29,1332.69,2.21485,2.86627,1.79414,0.28058,0.18109,0.1294,0.06222,1.72642,5.76342,1.4275,0.007228,0.007228,0.007228
30,1378.56,2.19421,2.86547,1.77137,0.28142,0.18981,0.1321,0.0627,1.71631,6.55762,1.42385,0.007129,0.007129,0.007129
31,1424.27,2.20654,2.83669,1.77639,0.29501,0.18774,0.13322,0.06274,1.71669,9.14705,1.4292,0.00703,0.00703,0.00703
32,1469.67,2.19085,2.84755,1.77409,0.26299,0.19198,0.13015,0.06331,1.69326,7.19209,1.41052,0.006931,0.006931,0.006931
33,1515.56,2.17118,2.79258,1.7594,0.30793,0.19033,0.13865,0.06774,1.66826,5.90532,1.41149,0.006832,0.006832,0.006832
34,1561.2,2.18924,2.82267,1.7676,0.31899,0.19407,0.14176,0.06866,1.70058,5.71367,1.41853,0.006733,0.006733,0.006733
35,1606.66,2.15409,2.78092,1.75,0.29879,0.19402,0.14453,0.06989,1.67887,6.18043,1.41375,0.006634,0.006634,0.006634
36,1652.02,2.18666,2.81248,1.76061,0.3094,0.19293,0.14266,0.06683,1.71168,7.18171,1.42286,0.006535,0.006535,0.006535
37,1697.45,2.17758,2.7975,1.74678,0.29581,0.19668,0.14066,0.06644,1.68112,6.0426,1.39238,0.006436,0.006436,0.006436
38,1742.77,2.16214,2.77964,1.74002,0.30897,0.18981,0.14155,0.06899,1.67439,5.87272,1.38907,0.006337,0.006337,0.006337
39,1788.35,2.16271,2.78013,1.73959,0.31332,0.19342,0.14308,0.06962,1.66469,5.67842,1.39562,0.006238,0.006238,0.006238
40,1834.23,2.16381,2.78076,1.73541,0.30134,0.19704,0.14749,0.06963,1.6538,6.42948,1.37659,0.006139,0.006139,0.006139
41,1879.49,2.13869,2.73892,1.72528,0.31228,0.19838,0.14547,0.07175,1.66385,6.61863,1.37754,0.00604,0.00604,0.00604
42,1924.8,2.13032,2.75369,1.72299,0.34135,0.19656,0.15202,0.07479,1.67173,5.9355,1.37676,0.005941,0.005941,0.005941
43,1970.02,2.13816,2.75028,1.72872,0.3145,0.19879,0.15383,0.07576,1.65759,5.58143,1.373,0.005842,0.005842,0.005842
44,2015.47,2.12671,2.72856,1.71416,0.29977,0.20653,0.14927,0.07289,1.65785,6.72638,1.38017,0.005743,0.005743,0.005743
45,2060.92,2.12748,2.74159,1.71341,0.32073,0.19785,0.14992,0.07369,1.65338,6.46745,1.37515,0.005644,0.005644,0.005644
46,2106.55,2.10137,2.699,1.69151,0.33661,0.20093,0.16037,0.07791,1.63584,5.96748,1.3683,0.005545,0.005545,0.005545
47,2151.8,2.10953,2.71388,1.70034,0.32292,0.20732,0.15496,0.0752,1.64917,5.97968,1.3567,0.005446,0.005446,0.005446
48,2197.39,2.11147,2.69203,1.68617,0.31147,0.209,0.15216,0.07623,1.64374,5.26003,1.35649,0.005347,0.005347,0.005347
