fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.10988,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.12223,0.00854,0.01,0.96489,0.00042,3.17165,0.77642,6.57026,0.52543,1.50113,0.0122,0.70671,0.4,0.0,0.1,0.49319,0.0,0.0,0.0,0.58997,0.0,1.0,0.0,0.0
0.12825,0.00833,0.01004,0.97572,0.00041,3.13588,0.75423,6.33188,0.52543,1.44733,0.01175,0.67783,0.4,0.0,0.1,0.49163,0.0,0.0,0.0,0.58394,0.0,1.0,0.0,0.0
0.12272,0.00888,0.00948,0.96311,0.00043,3.19171,0.83685,6.33188,0.49221,1.59008,0.01105,0.65351,0.36112,0.0,0.09102,0.49163,0.0,0.0,0.0,0.4768,0.0,1.0,0.0,0.0
0.12714,0.00814,0.0103,0.97572,0.0004,3.13588,0.76268,6.33188,0.52543,1.4559,0.01142,0.67783,0.39328,0.0,0.09607,0.49459,0.0,0.0,0.0,0.55213,0.0,0.98988,0.0,0.0
0.11764,0.00847,0.00991,0.95889,0.00042,3.21326,0.75423,6.65518,0.48981,1.29974,0.01146,0.64513,0.4,0.0,0.1,0.49013,0.0,0.0,0.0,0.61127,0.0,0.99406,0.0,0.0
0.12938,0.00833,0.01038,0.98,0.00039,3.42688,0.70109,6.14484,0.52543,1.40943,0.01202,0.67783,0.37822,0.0,0.1006,0.53258,0.0,0.0,0.0,0.64925,0.0,0.9856,0.0,0.0
0.11872,0.00837,0.01082,0.96083,0.00037,3.36777,0.74024,6.17368,0.47995,1.33247,0.01194,0.65094,0.37638,0.0,0.09354,0.48702,0.0,0.0,0.0,0.646,0.0,1.0,0.0,0.0
0.1209,0.00814,0.01054,0.91933,0.00052,3.10386,0.59637,5.69395,0.40586,1.4559,0.01553,0.43641,0.39328,0.0,0.07636,0.40158,0.0,0.0,0.0,0.52671,0.0,1.0,0.0,0.0
0.12742,0.00795,0.01004,0.98,0.00045,3.11176,0.84246,6.43654,0.47378,1.44733,0.01194,0.69962,0.4,0.0,0.10336,0.49163,0.0,0.0,0.0,0.58394,0.0,1.0,0.0,0.0
0.12926,0.00876,0.01113,0.98,0.00028,2.5672,0.90985,3.49932,0.47378,2.14379,0.01194,0.69962,0.39312,0.0,0.09322,0.48264,0.0,0.0,0.0,0.55495,0.0,1.0,0.0,0.0
0.12319,0.00825,0.01187,0.9293,0.0003,2.4543,0.95,3.56615,0.42843,2.14379,0.01194,0.79121,0.30558,0.0,0.10578,0.53341,0.0,0.0,0.0,0.60791,0.0,1.0,0.0,0.0
0.12623,0.00907,0.00917,0.98,0.00024,1.54617,0.90985,3.31327,0.5532,1.7943,0.01275,0.76486,0.39312,0.0,0.04451,0.42104,0.0,0.0,0.0,0.50317,0.0,0.98697,0.0,0.0
0.11707,0.00833,0.01206,0.98,0.00039,3.4204,0.66191,6.61688,0.55105,0.93564,0.00936,0.50956,0.38193,0.0,0.1023,0.5254,0.0,0.0,0.0,0.65638,0.0,0.75828,0.0,0.0
0.12476,0.00794,0.01052,0.98,0.00026,2.42723,0.69287,3.49932,0.40622,2.2365,0.01436,0.55176,0.29472,0.0,0.0792,0.47652,0.0,0.0,0.0,0.51636,0.0,0.99219,0.0,0.0
0.12156,0.00856,0.01023,0.96915,0.0004,3.13078,0.7665,5.69811,0.5297,1.5179,0.0118,0.72034,0.4215,0.0,0.09697,0.49163,0.0,0.0,0.0,0.58394,0.0,1.0,0.0,0.0
0.12676,0.00941,0.01115,0.97563,0.00028,2.52309,0.95,3.49932,0.45128,2.09878,0.01194,0.74938,0.39312,0.0,0.10452,0.47834,0.0,0.0,0.0,0.57243,0.0,1.0,0.0,0.0
0.11553,0.00886,0.01054,0.96564,0.00039,3.0918,0.67529,6.74438,0.52543,1.38775,0.01125,0.77219,0.38724,0.0,0.10282,0.57803,0.0,0.0,0.0,0.74635,0.0,1.0,0.0,0.0
0.12442,0.00862,0.01004,0.97604,0.00042,3.07342,0.80699,6.67932,0.54589,1.46127,0.01243,0.67783,0.41963,0.0,0.1,0.47609,0.0,0.0,0.0,0.58394,0.0,1.0,0.0,0.0
