epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.0016,2.54589,5.16501,1.99843,0.41181,0.02758,0.01157,0.00531,2.10169,22.137,1.64293,0.00332667,0.00332667,0.00332667
2,108.298,2.6292,4.34487,1.9757,0.08589,0.06291,0.02128,0.00741,2.19793,11.7216,1.70212,0.00659407,0.00659407,0.00659407
3,159.055,2.78189,3.87188,2.13406,0.10331,0.07275,0.02688,0.01207,2.34327,10.4972,1.92331,0.00979547,0.00979547,0.00979547
4,209.298,2.87046,3.77162,2.24429,0.09543,0.07954,0.02623,0.011,2.29003,14.513,1.80592,0.009703,0.009703,0.009703
5,259.637,2.79605,3.66288,2.1959,0.15665,0.07535,0.03563,0.01411,2.13235,6.15458,1.72253,0.009604,0.009604,0.009604
6,310.38,2.73054,3.54712,2.16537,0.14918,0.08367,0.04318,0.0168,2.1367,10.6478,1.69872,0.009505,0.009505,0.009505
7,360.903,2.67197,3.47608,2.10242,0.11703,0.08868,0.04091,0.01762,2.11167,8.03264,1.69853,0.009406,0.009406,0.009406
8,411.212,2.65291,3.44829,2.09807,0.1784,0.11268,0.06243,0.02776,2.0279,7.27767,1.65206,0.009307,0.009307,0.009307
9,461.478,2.59501,3.35667,2.04941,0.18196,0.11013,0.06337,0.02755,2.03724,5.11757,1.65056,0.009208,0.009208,0.009208
10,511.204,2.58539,3.34264,2.05538,0.18262,0.09702,0.05334,0.02179,2.06376,4.34773,1.65273,0.009109,0.009109,0.009109
11,561.296,2.55718,3.30079,2.02248,0.21318,0.10272,0.06833,0.02961,1.98864,6.29045,1.63226,0.00901,0.00901,0.00901
12,610.93,2.50517,3.26045,1.99076,0.19924,0.12716,0.07814,0.03169,1.99379,8.07813,1.58756,0.008911,0.008911,0.008911
13,660.941,2.47624,3.19274,1.96878,0.20903,0.16057,0.08135,0.03647,1.93099,9.3039,1.54447,0.008812,0.008812,0.008812
14,711.367,2.4663,3.16569,1.95846,0.20086,0.1454,0.08128,0.03578,1.89566,8.61632,1.56968,0.008713,0.008713,0.008713
15,761.321,2.44875,3.18471,1.95778,0.21166,0.1349,0.0809,0.03421,1.91769,6.23331,1.56017,0.008614,0.008614,0.008614
16,811.727,2.42134,3.1438,1.91633,0.21248,0.1425,0.08646,0.03666,1.87983,7.56223,1.52105,0.008515,0.008515,0.008515
17,862.111,2.41996,3.13204,1.90394,0.22504,0.15104,0.09336,0.04179,1.8872,6.55743,1.50728,0.008416,0.008416,0.008416
18,911.771,2.40802,3.10977,1.90042,0.22738,0.13942,0.08805,0.03796,1.87295,5.79372,1.53076,0.008317,0.008317,0.008317
19,961.971,2.38203,3.09387,1.88878,0.21018,0.14817,0.08395,0.03881,1.8827,7.29357,1.52148,0.008218,0.008218,0.008218
20,1012.01,2.36586,3.04709,1.86799,0.24991,0.13855,0.09833,0.04338,1.87234,4.95768,1.50605,0.008119,0.008119,0.008119
21,1062.39,2.35675,3.08175,1.8844,0.25519,0.16227,0.10694,0.04795,1.84102,7.0623,1.49777,0.00802,0.00802,0.00802
22,1112.67,2.34787,3.02276,1.87136,0.25008,0.14954,0.10478,0.04759,1.8407,5.48863,1.50009,0.007921,0.007921,0.007921
23,1162.69,2.35104,3.04773,1.87071,0.26214,0.1578,0.11169,0.05066,1.83403,6.34188,1.49797,0.007822,0.007822,0.007822
24,1213.19,2.33303,3.0312,1.8684,0.25417,0.16684,0.11654,0.05269,1.81623,8.67175,1.47206,0.007723,0.007723,0.007723
25,1263.64,2.31483,3.01111,1.83925,0.24763,0.16037,0.10844,0.0487,1.79573,7.84165,1.4633,0.007624,0.007624,0.007624
26,1314.09,2.27779,2.96754,1.81399,0.24332,0.16395,0.09991,0.04682,1.80851,6.72044,1.45961,0.007525,0.007525,0.007525
27,1364.19,2.2903,2.98124,1.83011,0.26934,0.16739,0.11924,0.05482,1.7681,6.33891,1.44019,0.007426,0.007426,0.007426
28,1414.01,2.289,2.95752,1.83162,0.275,0.16317,0.11007,0.04984,1.77733,5.54191,1.47219,0.007327,0.007327,0.007327
29,1463.34,2.2793,2.96139,1.8247,0.24922,0.16419,0.10915,0.05065,1.80383,5.55173,1.4766,0.007228,0.007228,0.007228
30,1513.69,2.26767,2.95034,1.80869,0.26183,0.18318,0.12021,0.05444,1.75354,7.12868,1.423,0.007129,0.007129,0.007129
31,1564.57,2.27145,2.92613,1.80096,0.25847,0.1823,0.11998,0.05324,1.77198,8.40693,1.4402,0.00703,0.00703,0.00703
32,1615.47,2.25677,2.92315,1.80016,0.26839,0.18316,0.12303,0.0591,1.78256,6.46465,1.4574,0.006931,0.006931,0.006931
33,1665.7,2.24595,2.88047,1.78889,0.295,0.17171,0.1307,0.06107,1.7526,5.75128,1.42507,0.006832,0.006832,0.006832
34,1715.48,2.26161,2.90442,1.79303,0.26535,0.17925,0.12223,0.05586,1.76082,5.15232,1.42756,0.006733,0.006733,0.006733
35,1765.75,2.21962,2.88095,1.7865,0.2686,0.18796,0.13011,0.06104,1.75168,5.61262,1.43286,0.006634,0.006634,0.006634
36,1815.7,2.23628,2.88385,1.78665,0.27722,0.18355,0.12569,0.05778,1.72799,6.60427,1.4118,0.006535,0.006535,0.006535
37,1866.12,2.23248,2.88596,1.78847,0.28898,0.1808,0.13607,0.06265,1.7465,5.94927,1.43073,0.006436,0.006436,0.006436
38,1915.51,2.22172,2.86964,1.77486,0.29573,0.18624,0.1321,0.06212,1.7111,5.73865,1.39453,0.006337,0.006337,0.006337
39,1965.48,2.22005,2.86622,1.76572,0.29575,0.18116,0.13577,0.06415,1.72063,5.95881,1.40221,0.006238,0.006238,0.006238
40,2016.09,2.23034,2.86867,1.77015,0.29103,0.18912,0.1412,0.06708,1.7068,6.46637,1.389,0.006139,0.006139,0.006139
41,2065.67,2.20424,2.82968,1.75325,0.30387,0.18395,0.13042,0.06282,1.70338,6.32909,1.38128,0.00604,0.00604,0.00604
42,2115.98,2.19283,2.8428,1.74353,0.30464,0.19438,0.1435,0.06954,1.69544,5.73547,1.37157,0.005941,0.005941,0.005941
43,2166.01,2.20974,2.84682,1.75464,0.28815,0.18901,0.14213,0.06814,1.69724,5.44095,1.37477,0.005842,0.005842,0.005842
44,2215.63,2.1999,2.82274,1.75059,0.31733,0.1819,0.14332,0.06824,1.70022,6.33819,1.38653,0.005743,0.005743,0.005743
45,2265.51,2.17925,2.82033,1.74342,0.31733,0.19027,0.14593,0.07089,1.6843,6.54828,1.35986,0.005644,0.005644,0.005644
46,2314.85,2.17539,2.78918,1.72803,0.33556,0.18261,0.15158,0.07296,1.69297,5.26968,1.36875,0.005545,0.005545,0.005545
47,2365.13,2.1846,2.79899,1.74058,0.32294,0.20077,0.15104,0.07164,1.68192,5.98058,1.36867,0.005446,0.005446,0.005446
48,2414.94,2.17442,2.78684,1.72239,0.30955,0.19248,0.14588,0.06913,1.67309,5.96661,1.35614,0.005347,0.005347,0.005347
49,2465.05,2.17211,2.79191,1.73267,0.32736,0.1988,0.14738,0.0695,1.68084,5.7097,1.36591,0.005248,0.005248,0.005248
50,2515.13,2.16605,2.78418,1.70887,0.31763,0.19249,0.14876,0.07138,1.67283,5.66054,1.34945,0.005149,0.005149,0.005149
51,2564.83,2.15265,2.77007,1.71246,0.32096,0.1995,0.15168,0.07194,1.6523,6.87255,1.34451,0.00505,0.00505,0.00505
52,2614.72,2.14866,2.76378,1.71519,0.30804,0.19893,0.15318,0.07366,1.6758,6.03556,1.36127,0.004951,0.004951,0.004951
53,2664.75,2.14061,2.74474,1.71212,0.3301,0.20513,0.15225,0.07346,1.65968,6.01713,1.35294,0.004852,0.004852,0.004852
54,2714.56,2.13857,2.73405,1.70372,0.33883,0.19815,0.15668,0.07755,1.66114,6.00829,1.35091,0.004753,0.004753,0.004753
55,2764.14,2.14105,2.75572,1.71224,0.33843,0.20812,0.16264,0.07703,1.64304,6.84569,1.34695,0.004654,0.004654,0.004654
56,2814.12,2.12154,2.72773,1.70826,0.32895,0.21163,0.16162,0.07555,1.65105,6.0125,1.34898,0.004555,0.004555,0.004555
57,2864.36,2.11514,2.71738,1.68898,0.31244,0.20464,0.16043,0.07672,1.6553,5.85067,1.34579,0.004456,0.004456,0.004456
58,2914.39,2.11431,2.72485,1.69513,0.34114,0.19918,0.16349,0.07805,1.65908,5.89511,1.33818,0.004357,0.004357,0.004357
59,2964.44,2.13137,2.71957,1.69463,0.30721,0.20304,0.15852,0.07734,1.64777,6.26385,1.33467,0.004258,0.004258,0.004258
60,3014.22,2.10263,2.69549,1.67628,0.33919,0.20828,0.15933,0.07664,1.65142,5.91686,1.33334,0.004159,0.004159,0.004159
