epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.2164,3.00294,4.16939,2.48613,0.66929,0.0097,0.00145,0.00046,2.88399,8.12633,2.59446,0.0700701,0.00332555,0.00332555
2,171.391,2.95147,3.99286,2.47442,0.23532,0.02335,0.0061,0.00189,2.57025,28.3746,2.33819,0.040049,0.00663779,0.00663779
3,254.265,2.80669,3.80362,2.36366,0.05792,0.05968,0.01458,0.00528,2.46569,27.3666,2.13191,0.0100068,0.00992893,0.00992893
4,337.269,2.68752,3.59311,2.2753,0.08206,0.0702,0.02852,0.01325,2.3354,38.0271,1.93919,0.009905,0.009905,0.009905
5,416.381,2.60604,3.50796,2.19978,0.42025,0.05897,0.03303,0.01517,2.22707,5.76314,1.88883,0.00987333,0.00987333,0.00987333
6,497.665,2.54903,3.39216,2.14078,0.38854,0.05176,0.02514,0.01017,2.17995,15.7426,1.86295,0.00984167,0.00984167,0.00984167
7,578.397,2.51909,3.32022,2.11267,0.14928,0.09532,0.06212,0.02505,2.13147,10.7124,1.77758,0.00981,0.00981,0.00981
8,657.656,2.44764,3.25582,2.07755,0.10772,0.07664,0.04474,0.01841,2.17508,27.4805,1.82954,0.00977833,0.00977833,0.00977833
9,739.105,2.40622,3.17938,2.03607,0.23552,0.13739,0.08733,0.03456,2.00664,9.18109,1.71403,0.00974667,0.00974667,0.00974667
10,821.119,2.39055,3.13286,2.02104,0.19037,0.13944,0.08267,0.03237,2.00633,9.88379,1.71015,0.009715,0.009715,0.009715
11,903.46,2.34741,3.08145,1.99296,0.18545,0.15318,0.0969,0.03891,1.95506,11.3663,1.65213,0.00968333,0.00968333,0.00968333
12,984.702,2.30796,3.0346,1.95698,0.20436,0.16181,0.09995,0.04049,1.93943,10.352,1.64664,0.00965167,0.00965167,0.00965167
13,1066.54,2.28932,2.99361,1.94166,0.29646,0.14055,0.1033,0.04279,1.95711,10.9968,1.64503,0.00962,0.00962,0.00962
14,1148.71,2.2762,2.98,1.93366,0.21627,0.16516,0.11363,0.04786,1.94464,8.98293,1.62161,0.00958833,0.00958833,0.00958833
15,1227.65,2.2498,2.92882,1.91542,0.21956,0.17112,0.11054,0.04642,1.92342,7.10564,1.63683,0.00955667,0.00955667,0.00955667
16,1307.75,2.24324,2.87805,1.89865,0.20615,0.17841,0.11563,0.04576,1.94599,9.3811,1.64084,0.009525,0.009525,0.009525
17,1389.74,2.2146,2.87455,1.89396,0.20728,0.17877,0.12372,0.05276,1.89741,8.83031,1.60276,0.00949333,0.00949333,0.00949333
18,1471.37,2.19427,2.83574,1.87225,0.23259,0.19356,0.13021,0.05323,1.88017,11.0773,1.60322,0.00946167,0.00946167,0.00946167
19,1553.27,2.16713,2.79705,1.85592,0.25642,0.19546,0.14066,0.05716,1.88087,8.17446,1.61591,0.00943,0.00943,0.00943
20,1635.27,2.16169,2.78263,1.84215,0.24935,0.2169,0.15358,0.06292,1.81023,6.60913,1.56223,0.00939833,0.00939833,0.00939833
21,1717.11,2.15485,2.79125,1.8532,0.22421,0.21254,0.143,0.0614,1.85155,9.03693,1.57821,0.00936667,0.00936667,0.00936667
22,1798.14,2.13743,2.72502,1.83654,0.242,0.2142,0.15014,0.06683,1.83002,9.88223,1.56909,0.009335,0.009335,0.009335
23,1879.84,2.10267,2.70657,1.81659,0.25926,0.20922,0.14449,0.06476,1.82387,8.77835,1.54717,0.00930333,0.00930333,0.00930333
24,1962.08,2.09271,2.70447,1.8104,0.26573,0.2354,0.15974,0.07201,1.80821,8.37088,1.53266,0.00927167,0.00927167,0.00927167
25,2043.59,2.09463,2.69152,1.80182,0.23314,0.24638,0.16528,0.07097,1.81188,8.33335,1.53452,0.00924,0.00924,0.00924
26,2125.12,2.07458,2.66931,1.79566,0.21989,0.24353,0.15957,0.0707,1.76518,8.54523,1.51468,0.00920833,0.00920833,0.00920833
27,2204.98,2.07768,2.63661,1.77743,0.23141,0.24379,0.15906,0.07038,1.79478,7.07563,1.53229,0.00917667,0.00917667,0.00917667
28,2286.49,2.06348,2.62662,1.77555,0.29588,0.22837,0.16928,0.07723,1.75599,6.09996,1.49589,0.009145,0.009145,0.009145
29,2367.48,2.02392,2.59622,1.76081,0.27027,0.24127,0.1739,0.07795,1.77456,6.90468,1.50853,0.00911333,0.00911333,0.00911333
30,2448.84,2.04437,2.57608,1.75102,0.27657,0.2543,0.18837,0.08465,1.7478,8.23032,1.48209,0.00908167,0.00908167,0.00908167
31,2528.92,2.03363,2.54143,1.74763,0.27832,0.23287,0.17232,0.07439,1.74433,7.98,1.50042,0.00905,0.00905,0.00905
32,2608.39,2.01699,2.55352,1.7412,0.30268,0.24616,0.19178,0.08775,1.75139,6.69325,1.49404,0.00901833,0.00901833,0.00901833
33,2689.02,2.00913,2.53253,1.73584,0.26282,0.25637,0.18292,0.08412,1.74861,7.61153,1.49771,0.00898667,0.00898667,0.00898667
34,2769.45,1.995,2.50972,1.72944,0.26322,0.26666,0.18472,0.08312,1.73126,5.18315,1.47617,0.008955,0.008955,0.008955
35,2851.74,1.98616,2.50108,1.71666,0.293,0.26257,0.19434,0.08843,1.75822,7.74256,1.48644,0.00892333,0.00892333,0.00892333
36,2933.11,1.97526,2.48759,1.70748,0.30624,0.25568,0.19174,0.08946,1.72848,6.72327,1.47436,0.00889167,0.00889167,0.00889167
37,3014.95,1.95675,2.44823,1.69254,0.28251,0.2638,0.19387,0.08835,1.7459,9.49143,1.48606,0.00886,0.00886,0.00886
38,3097.05,1.96655,2.45875,1.70184,0.25148,0.26888,0.19176,0.08765,1.74112,8.4943,1.48275,0.00882833,0.00882833,0.00882833
39,3178.52,1.95499,2.45037,1.70086,0.28731,0.27281,0.20141,0.09405,1.73331,7.24163,1.48478,0.00879667,0.00879667,0.00879667
40,3260.2,1.94948,2.42937,1.69017,0.30046,0.2577,0.20084,0.09263,1.72338,7.57435,1.46858,0.008765,0.008765,0.008765
41,3341.31,1.93277,2.41294,1.67972,0.30038,0.26359,0.20936,0.09711,1.72594,8.87942,1.47011,0.00873333,0.00873333,0.00873333
42,3422.79,1.91955,2.38664,1.67696,0.28795,0.28127,0.20546,0.0947,1.72179,8.34662,1.4671,0.00870167,0.00870167,0.00870167
