epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.578,3.00294,4.16939,2.48613,0.66929,0.0097,0.00145,0.00046,2.88399,8.12633,2.59446,0.0700701,0.00332555,0.00332555
2,173.263,2.95589,3.99593,2.48736,0.02218,0.03555,0.00626,0.00186,2.68422,196.045,2.49524,0.0400699,0.0066587,0.0066587
3,256.038,2.79331,3.82261,2.34924,0.04464,0.05762,0.01641,0.00704,2.43676,127.166,2.04292,0.010069,0.00999113,0.00999113
4,337.157,2.67567,3.60689,2.24231,0.06665,0.06749,0.02327,0.01015,2.25662,23.1922,1.90404,0.00999756,0.00999756,0.00999756
5,417.329,2.59377,3.48714,2.18083,0.08662,0.07851,0.02828,0.01139,2.19798,16.3812,1.84577,0.00999566,0.00999566,0.00999566
6,498.275,2.54269,3.39181,2.13129,0.14183,0.07245,0.04582,0.01937,2.18263,7.21591,1.83076,0.00999322,0.00999322,0.00999322
7,579.884,2.50083,3.32252,2.10875,0.11257,0.07317,0.04433,0.01987,2.14464,7.78011,1.8301,0.00999023,0.00999023,0.00999023
8,661.726,2.45428,3.25435,2.0801,0.13202,0.11173,0.06276,0.02637,2.08835,15.639,1.79125,0.00998671,0.00998671,0.00998671
9,743.599,2.40073,3.17937,2.03626,0.18651,0.14266,0.08249,0.03024,2.02129,9.42966,1.72225,0.00998264,0.00998264,0.00998264
10,824.52,2.38313,3.15415,2.02464,0.21161,0.12157,0.07831,0.03239,2.01076,6.50154,1.74113,0.00997803,0.00997803,0.00997803
11,905.257,2.34383,3.09332,1.98394,0.16274,0.11703,0.08197,0.03627,1.97867,6.45849,1.70046,0.00997288,0.00997288,0.00997288
12,987.827,2.30518,3.02972,1.97072,0.19304,0.16996,0.0987,0.04092,1.94571,12.05,1.65954,0.0099672,0.0099672,0.0099672
13,1067.75,2.2858,3.01068,1.94916,0.19884,0.15552,0.09921,0.04282,1.93843,8.06164,1.65238,0.00996097,0.00996097,0.00996097
14,1148.34,2.26696,2.96906,1.93385,0.1985,0.15554,0.09644,0.0415,1.95769,17.707,1.64127,0.0099542,0.0099542,0.0099542
15,1229.82,2.23845,2.93378,1.90648,0.19886,0.16841,0.10963,0.04522,1.93625,7.25189,1.65617,0.0099469,0.0099469,0.0099469
