epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.5831,2.50753,3.66941,2.01663,0.21775,0.14298,0.09149,0.04019,2.10853,6.54527,1.60775,0.00066487,0.00066487,0.00066487
2,110.187,2.18678,2.80819,1.71748,0.25483,0.17115,0.11735,0.05235,2.04685,4.27648,1.56803,0.00131835,0.00131835,0.00131835
3,162.747,2.14504,2.72709,1.69205,0.26856,0.18377,0.13562,0.06144,2.02693,4.2161,1.58686,0.00195864,0.00195864,0.00195864
4,214.71,2.09892,2.65949,1.67632,0.27751,0.19344,0.14325,0.0672,1.97935,5.67681,1.55396,0.0019406,0.0019406,0.0019406
5,266.603,2.05571,2.60017,1.63242,0.32131,0.22246,0.17165,0.07978,1.93577,3.36123,1.48662,0.0019208,0.0019208,0.0019208
6,317.237,2.03256,2.56208,1.6198,0.30939,0.22372,0.16942,0.07961,1.89829,4.60084,1.48998,0.001901,0.001901,0.001901
7,368.146,2.011,2.53136,1.60107,0.30779,0.23339,0.18334,0.08615,1.89587,4.50386,1.4754,0.0018812,0.0018812,0.0018812
8,419.325,1.97453,2.49465,1.58472,0.35326,0.21909,0.18469,0.08647,1.86683,4.76624,1.47043,0.0018614,0.0018614,0.0018614
9,470.047,1.96961,2.46752,1.57064,0.34003,0.25442,0.1947,0.0942,1.82795,3.10059,1.41785,0.0018416,0.0018416,0.0018416
10,520.965,1.95349,2.4573,1.56748,0.33855,0.25442,0.20291,0.09357,1.85853,3.38394,1.44667,0.0018218,0.0018218,0.0018218
11,571.831,1.94701,2.43734,1.56356,0.3394,0.25105,0.21192,0.10278,1.8157,3.68279,1.41765,0.001802,0.001802,0.001802
12,622.803,1.93302,2.40538,1.55144,0.35414,0.25484,0.21715,0.10414,1.79594,3.4739,1.42423,0.0017822,0.0017822,0.0017822
13,673.259,1.91264,2.37594,1.53829,0.37398,0.25904,0.21997,0.10225,1.83791,3.3826,1.43142,0.0017624,0.0017624,0.0017624
14,723.974,1.90789,2.38145,1.52423,0.3473,0.26745,0.21387,0.10106,1.77876,3.96901,1.42431,0.0017426,0.0017426,0.0017426
15,775.111,1.89522,2.36184,1.51661,0.35193,0.27166,0.22621,0.11078,1.79396,3.6539,1.40182,0.0017228,0.0017228,0.0017228
16,826.107,1.89531,2.34455,1.51724,0.34191,0.2704,0.2231,0.10998,1.80196,4.44102,1.38251,0.001703,0.001703,0.001703
17,876.817,1.87531,2.31892,1.50833,0.34854,0.2603,0.22097,0.10683,1.814,3.58102,1.42031,0.0016832,0.0016832,0.0016832
18,928.93,1.86062,2.31066,1.50074,0.35664,0.27965,0.2345,0.1125,1.80201,3.98624,1.40897,0.0016634,0.0016634,0.0016634
19,979.768,1.85768,2.30138,1.49301,0.38247,0.27082,0.2397,0.11523,1.79829,3.34647,1.40211,0.0016436,0.0016436,0.0016436
20,1031.15,1.84134,2.27826,1.48834,0.38001,0.27082,0.23915,0.11473,1.79277,3.66025,1.40693,0.0016238,0.0016238,0.0016238
21,1082.19,1.84124,2.27546,1.48538,0.36217,0.27124,0.22779,0.10931,1.792,3.59083,1.39642,0.001604,0.001604,0.001604
22,1132.91,1.84227,2.2682,1.48417,0.38266,0.26848,0.23733,0.11358,1.7814,3.86915,1.38882,0.0015842,0.0015842,0.0015842
23,1184,1.82253,2.2435,1.47254,0.3468,0.2931,0.2358,0.11423,1.78792,3.94528,1.37564,0.0015644,0.0015644,0.0015644
24,1234.55,1.80985,2.23547,1.45752,0.38571,0.27881,0.24151,0.11751,1.77324,3.63519,1.37152,0.0015446,0.0015446,0.0015446
25,1285.18,1.80364,2.2185,1.46386,0.38144,0.28175,0.24273,0.11837,1.76571,3.4021,1.38294,0.0015248,0.0015248,0.0015248
26,1335.97,1.80061,2.22041,1.46196,0.39033,0.28722,0.25341,0.12341,1.7672,3.02135,1.37846,0.001505,0.001505,0.001505
27,1387.05,1.78965,2.18788,1.45947,0.37348,0.29058,0.24352,0.11771,1.77197,4.18845,1.39212,0.0014852,0.0014852,0.0014852
28,1437.88,1.80161,2.19972,1.45929,0.36485,0.29899,0.24653,0.12294,1.75529,3.74345,1.36402,0.0014654,0.0014654,0.0014654
29,1488.76,1.77323,2.16024,1.44408,0.37705,0.30782,0.25543,0.12533,1.74666,3.16387,1.36216,0.0014456,0.0014456,0.0014456
30,1541.62,1.77462,2.17924,1.44444,0.39149,0.29731,0.25694,0.12778,1.75344,3.12051,1.38119,0.0014258,0.0014258,0.0014258
31,1593.01,1.7737,2.14374,1.43472,0.39504,0.31161,0.26943,0.13309,1.74854,3.44688,1.36326,0.001406,0.001406,0.001406
32,1644.47,1.78026,2.15491,1.42789,0.3796,0.31665,0.26271,0.12815,1.74932,3.73253,1.35795,0.0013862,0.0013862,0.0013862
33,1695.2,1.76349,2.13082,1.42539,0.41661,0.29899,0.26793,0.13234,1.74328,3.50008,1.36062,0.0013664,0.0013664,0.0013664
34,1747.19,1.76729,2.15712,1.4342,0.40784,0.30067,0.26484,0.13153,1.75452,3.54749,1.36597,0.0013466,0.0013466,0.0013466
