epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.2905,2.25798,3.4315,1.75325,0.18385,0.13036,0.08153,0.03068,2.25964,5.01948,1.7259,0.00066487,0.00066487,0.00066487
2,112.297,2.31746,2.9545,1.85191,0.16221,0.10639,0.05967,0.02381,2.26827,7.81303,1.89154,0.00131835,0.00131835,0.00131835
3,164.819,2.32409,2.90055,1.85859,0.17094,0.15055,0.08512,0.03331,2.19777,5.2768,1.75336,0.00195864,0.00195864,0.00195864
4,216.662,2.25988,2.83205,1.83205,0.22022,0.17073,0.107,0.04597,2.13179,4.92665,1.70722,0.0019406,0.0019406,0.0019406
5,268.956,2.19162,2.74732,1.78496,0.25294,0.16773,0.12087,0.05095,2.0633,3.51959,1.65262,0.0019208,0.0019208,0.0019208
6,320.711,2.14303,2.68484,1.7494,0.2761,0.18293,0.13218,0.05797,2.05716,3.16418,1.66632,0.001901,0.001901,0.001901
7,372.416,2.11821,2.65619,1.72662,0.25573,0.20101,0.13241,0.05734,2.02257,4.83229,1.6263,0.0018812,0.0018812,0.0018812
8,424.151,2.06683,2.60833,1.69432,0.28605,0.22792,0.16101,0.06881,1.96181,4.85115,1.56423,0.0018614,0.0018614,0.0018614
9,476.074,2.04276,2.56927,1.67655,0.27455,0.20227,0.15464,0.06465,1.9861,3.817,1.60459,0.0018416,0.0018416,0.0018416
10,528.503,2.03449,2.5499,1.67262,0.3261,0.21236,0.16245,0.06917,1.98012,3.23727,1.6415,0.0018218,0.0018218,0.0018218
11,580.884,2.02036,2.52097,1.65381,0.33498,0.22136,0.18749,0.08327,1.90345,3.24669,1.53546,0.001802,0.001802,0.001802
12,633.033,1.99668,2.48832,1.64252,0.31497,0.22035,0.17256,0.07561,1.88916,3.48897,1.55286,0.0017822,0.0017822,0.0017822
13,684.742,1.96364,2.4574,1.61657,0.29718,0.22102,0.159,0.06828,1.95958,3.99852,1.59399,0.0017624,0.0017624,0.0017624
14,736.4,1.96878,2.45213,1.62434,0.32991,0.26955,0.20389,0.09114,1.86231,4.09567,1.50533,0.0017426,0.0017426,0.0017426
15,787.923,1.96102,2.43127,1.60418,0.36363,0.24516,0.21127,0.09826,1.87277,3.00824,1.50837,0.0017228,0.0017228,0.0017228
16,839.087,1.95067,2.41352,1.59266,0.37133,0.26367,0.21807,0.10143,1.83022,3.46649,1.5033,0.001703,0.001703,0.001703
17,890.36,1.91813,2.38693,1.58725,0.35391,0.25063,0.21113,0.09844,1.83794,3.69426,1.50129,0.0016832,0.0016832,0.0016832
18,941.51,1.90204,2.36936,1.57341,0.35437,0.25897,0.20818,0.09916,1.82686,3.52068,1.48319,0.0016634,0.0016634,0.0016634
19,992.999,1.89321,2.35842,1.55866,0.33377,0.27662,0.21912,0.09955,1.8588,3.59292,1.49849,0.0016436,0.0016436,0.0016436
20,1044.04,1.88899,2.32919,1.55207,0.37627,0.26913,0.23099,0.10682,1.81971,3.18698,1.48143,0.0016238,0.0016238,0.0016238
21,1095.02,1.88865,2.32361,1.55031,0.34716,0.27208,0.22457,0.10508,1.82936,3.27058,1.46978,0.001604,0.001604,0.001604
22,1145.59,1.87185,2.32464,1.5426,0.37932,0.26829,0.23591,0.1082,1.80371,3.61899,1.45181,0.0015842,0.0015842,0.0015842
23,1196.52,1.86284,2.2964,1.54245,0.36268,0.27292,0.22981,0.10703,1.79256,3.9234,1.44616,0.0015644,0.0015644,0.0015644
24,1247.12,1.85212,2.28636,1.5365,0.41135,0.27376,0.24331,0.11202,1.7996,3.60496,1.46736,0.0015446,0.0015446,0.0015446
25,1298.15,1.84084,2.25185,1.53103,0.35825,0.27881,0.22509,0.1056,1.78846,3.52096,1.43423,0.0015248,0.0015248,0.0015248
26,1348.77,1.83704,2.2688,1.52263,0.3889,0.28638,0.24341,0.11366,1.78603,2.96706,1.45038,0.001505,0.001505,0.001505
27,1399.71,1.82382,2.24135,1.52212,0.36291,0.28764,0.22582,0.10747,1.79904,3.59033,1.45685,0.0014852,0.0014852,0.0014852
28,1450.54,1.8376,2.24083,1.52848,0.38397,0.29058,0.24381,0.11503,1.77399,3.55121,1.44447,0.0014654,0.0014654,0.0014654
29,1501.56,1.80792,2.19916,1.50167,0.3809,0.29773,0.25738,0.12368,1.75091,3.1732,1.41046,0.0014456,0.0014456,0.0014456
30,1552.68,1.81672,2.22009,1.50991,0.38289,0.27965,0.23609,0.1128,1.79757,2.8817,1.48317,0.0014258,0.0014258,0.0014258
31,1604.06,1.80823,2.19396,1.49704,0.38692,0.29731,0.25304,0.11724,1.78071,3.2899,1.43084,0.001406,0.001406,0.001406
32,1655.16,1.81156,2.19296,1.49027,0.3492,0.30278,0.24089,0.11575,1.79121,3.81216,1.44102,0.0013862,0.0013862,0.0013862
33,1706.17,1.80102,2.17359,1.48927,0.37456,0.30109,0.25116,0.1195,1.76834,3.49623,1.41368,0.0013664,0.0013664,0.0013664
34,1756.93,1.79434,2.19708,1.48981,0.3778,0.30656,0.25922,0.12415,1.75001,2.98279,1.41318,0.0013466,0.0013466,0.0013466
35,1808.12,1.79259,2.16479,1.48591,0.38557,0.31497,0.26007,0.12758,1.75409,3.2537,1.40134,0.0013268,0.0013268,0.0013268
36,1859.74,1.77369,2.13276,1.46309,0.40689,0.29563,0.26474,0.12545,1.76233,3.24897,1.41417,0.001307,0.001307,0.001307
37,1910.72,1.76851,2.14589,1.4746,0.38498,0.31833,0.26646,0.12862,1.73387,3.60942,1.40019,0.0012872,0.0012872,0.0012872
38,1962.18,1.74622,2.10635,1.45564,0.38744,0.31203,0.26083,0.1277,1.74826,3.7082,1.40469,0.0012674,0.0012674,0.0012674
39,2013.18,1.75789,2.11792,1.46466,0.38441,0.30572,0.27101,0.13394,1.73536,3.44492,1.40376,0.0012476,0.0012476,0.0012476
40,2064.83,1.74679,2.11072,1.45622,0.37707,0.31436,0.26841,0.13058,1.74193,3.50863,1.40882,0.0012278,0.0012278,0.0012278
41,2116.1,1.75901,2.10804,1.46141,0.39513,0.30614,0.26752,0.12981,1.72202,3.16685,1.39196,0.001208,0.001208,0.001208
42,2167.08,1.73648,2.098,1.45126,0.37869,0.30235,0.26435,0.12688,1.7715,3.38086,1.41681,0.0011882,0.0011882,0.0011882
43,2218.2,1.73357,2.09191,1.44771,0.4127,0.29352,0.26838,0.12787,1.737,3.58032,1.3932,0.0011684,0.0011684,0.0011684
44,2269.35,1.74493,2.08822,1.43684,0.39683,0.3074,0.27446,0.1332,1.73524,2.89991,1.38356,0.0011486,0.0011486,0.0011486
45,2320.17,1.7303,2.06116,1.43498,0.388,0.32212,0.27034,0.13264,1.72631,3.36656,1.39155,0.0011288,0.0011288,0.0011288
46,2371,1.71505,2.04691,1.43271,0.3959,0.31287,0.27279,0.13465,1.73362,3.24403,1.39127,0.001109,0.001109,0.001109
47,2422.36,1.71166,2.03329,1.42752,0.40927,0.31161,0.27366,0.13382,1.71573,3.04076,1.39337,0.0010892,0.0010892,0.0010892
48,2473.34,1.71273,2.04192,1.42908,0.39349,0.32296,0.28032,0.13693,1.73446,2.93121,1.38989,0.0010694,0.0010694,0.0010694
49,2524.35,1.70215,2.0192,1.42459,0.377,0.32114,0.2748,0.13345,1.72932,3.53592,1.38821,0.0010496,0.0010496,0.0010496
50,2575.31,1.71079,2.03242,1.41992,0.40502,0.32506,0.28222,0.13791,1.74476,3.0362,1.39321,0.0010298,0.0010298,0.0010298
51,2626.58,1.68903,1.99688,1.41101,0.37935,0.32801,0.27783,0.13339,1.71789,3.57217,1.38506,0.00101,0.00101,0.00101
52,2677.75,1.6941,2.00312,1.41347,0.39564,0.3217,0.27711,0.13439,1.72814,3.55239,1.39202,0.0009902,0.0009902,0.0009902
53,2728.82,1.69971,2.01007,1.42051,0.38825,0.32885,0.28149,0.13393,1.73299,3.19157,1.38493,0.0009704,0.0009704,0.0009704
54,2779.66,1.67711,1.98046,1.39442,0.40708,0.3217,0.28165,0.13807,1.73493,3.2394,1.38504,0.0009506,0.0009506,0.0009506
55,2830.87,1.67361,1.9797,1.40177,0.41226,0.31539,0.28834,0.14167,1.74081,3.08906,1.38755,0.0009308,0.0009308,0.0009308
56,2882.06,1.66906,1.94925,1.39209,0.37724,0.34363,0.28423,0.13842,1.73901,3.35652,1.38825,0.000911,0.000911,0.000911
57,2932.87,1.65888,1.96921,1.38769,0.40092,0.31329,0.27902,0.13774,1.73211,3.40388,1.38669,0.0008912,0.0008912,0.0008912
58,2983.82,1.66031,1.94766,1.38563,0.39506,0.32843,0.28681,0.14268,1.73045,3.03807,1.38268,0.0008714,0.0008714,0.0008714
59,3034.58,1.6569,1.93753,1.386,0.39567,0.31278,0.2817,0.13935,1.73061,2.90774,1.37682,0.0008516,0.0008516,0.0008516
60,3085.7,1.66172,1.94677,1.38455,0.40168,0.32885,0.286,0.13939,1.74024,3.27102,1.38312,0.0008318,0.0008318,0.0008318
61,3136.09,1.64418,1.92521,1.3731,0.40174,0.3238,0.28156,0.13862,1.72607,3.42121,1.37495,0.000812,0.000812,0.000812
62,3186.89,1.63567,1.90599,1.3679,0.41279,0.31791,0.289,0.14086,1.73409,3.19622,1.37521,0.0007922,0.0007922,0.0007922
63,3237.61,1.64133,1.91554,1.37401,0.38596,0.32675,0.27735,0.13604,1.73504,3.29517,1.38278,0.0007724,0.0007724,0.0007724
64,3287.94,1.64263,1.89477,1.36675,0.40843,0.32086,0.28274,0.13728,1.73849,3.22844,1.38272,0.0007526,0.0007526,0.0007526
65,3338.1,1.62258,1.8888,1.36139,0.409,0.3259,0.28739,0.14014,1.74565,3.08566,1.38553,0.0007328,0.0007328,0.0007328
66,3388.94,1.61343,1.87267,1.35379,0.40159,0.3347,0.2817,0.13802,1.72836,3.30429,1.37711,0.000713,0.000713,0.000713
67,3439.84,1.62128,1.87501,1.35884,0.39959,0.34424,0.28593,0.13971,1.73304,3.19117,1.37724,0.0006932,0.0006932,0.0006932
68,3490.91,1.61915,1.87213,1.35998,0.39403,0.33095,0.28156,0.13778,1.73274,3.21529,1.37726,0.0006734,0.0006734,0.0006734
69,3541.96,1.60257,1.85356,1.35243,0.38988,0.32801,0.27982,0.13834,1.74083,3.00739,1.39191,0.0006536,0.0006536,0.0006536
70,3592.63,1.61314,1.85731,1.34671,0.39217,0.34861,0.28256,0.1394,1.72045,2.95837,1.37749,0.0006338,0.0006338,0.0006338
71,3643.53,1.60244,1.8469,1.34565,0.39173,0.34399,0.28708,0.13975,1.72128,3.1392,1.37941,0.000614,0.000614,0.000614
72,3694.22,1.60575,1.83249,1.34546,0.39972,0.3423,0.28639,0.14093,1.72453,3.09982,1.38189,0.0005942,0.0005942,0.0005942
73,3746.29,1.60293,1.83893,1.34288,0.3865,0.34819,0.28453,0.1374,1.75505,3.25428,1.39767,0.0005744,0.0005744,0.0005744
74,3797.24,1.59196,1.83061,1.33564,0.40809,0.32885,0.28256,0.13796,1.73747,3.29212,1.3904,0.0005546,0.0005546,0.0005546
75,3849.91,1.58251,1.82176,1.33239,0.39851,0.33347,0.27704,0.13728,1.74826,3.18077,1.4034,0.0005348,0.0005348,0.0005348
76,3900.67,1.582,1.80341,1.32731,0.39929,0.33305,0.28217,0.13833,1.75121,3.07922,1.39477,0.000515,0.000515,0.000515
77,3951.73,1.58091,1.79299,1.32949,0.41133,0.33703,0.28743,0.14133,1.76207,3.05002,1.39692,0.0004952,0.0004952,0.0004952
78,4003.12,1.58704,1.80224,1.32838,0.41243,0.33305,0.28427,0.13971,1.7593,3.14256,1.40009,0.0004754,0.0004754,0.0004754
79,4053.68,1.56917,1.78355,1.31647,0.40484,0.33516,0.2818,0.13857,1.75014,3.08452,1.39433,0.0004556,0.0004556,0.0004556
80,4104.17,1.55391,1.7644,1.31454,0.40048,0.33516,0.28786,0.14209,1.74935,3.01777,1.39251,0.0004358,0.0004358,0.0004358
81,4154.8,1.56263,1.76729,1.31222,0.39882,0.336,0.28408,0.13956,1.75525,3.14301,1.39068,0.000416,0.000416,0.000416
82,4205.8,1.56235,1.77631,1.31802,0.41789,0.3259,0.28188,0.13953,1.75387,3.18201,1.38789,0.0003962,0.0003962,0.0003962
83,4256.39,1.55218,1.75716,1.31114,0.42997,0.32675,0.2861,0.14006,1.76986,3.16243,1.39912,0.0003764,0.0003764,0.0003764
84,4306.95,1.56099,1.75855,1.31076,0.39824,0.34651,0.2828,0.13985,1.76414,3.14987,1.38918,0.0003566,0.0003566,0.0003566
85,4357.84,1.55404,1.73984,1.31171,0.39682,0.34945,0.28327,0.13949,1.7536,3.12373,1.3859,0.0003368,0.0003368,0.0003368
86,4408.49,1.54832,1.73109,1.30423,0.39916,0.34146,0.28234,0.13807,1.76432,3.16848,1.39381,0.000317,0.000317,0.000317
87,4460,1.54479,1.73106,1.3062,0.40821,0.34025,0.28161,0.13725,1.77288,3.12318,1.40245,0.0002972,0.0002972,0.0002972
88,4510.46,1.52679,1.70806,1.29432,0.40073,0.33221,0.28163,0.1383,1.78033,3.14688,1.41225,0.0002774,0.0002774,0.0002774
89,4561.14,1.52714,1.71137,1.28752,0.41532,0.32801,0.28249,0.13774,1.77697,3.27387,1.40956,0.0002576,0.0002576,0.0002576
90,4611.9,1.53996,1.70737,1.30024,0.40097,0.33347,0.28206,0.1371,1.7752,3.21957,1.40892,0.0002378,0.0002378,0.0002378
91,4662.7,1.53652,1.71287,1.30633,0.39814,0.32801,0.27764,0.13498,1.78223,3.28755,1.40988,0.000218,0.000218,0.000218
92,4711.68,1.51483,1.64113,1.29548,0.40045,0.33642,0.27948,0.1361,1.7813,3.23531,1.41074,0.0001982,0.0001982,0.0001982
93,4761,1.50404,1.64199,1.28502,0.39834,0.32936,0.27985,0.13643,1.77968,3.25896,1.40963,0.0001784,0.0001784,0.0001784
94,4810.15,1.4923,1.61803,1.28282,0.39432,0.33537,0.27981,0.13631,1.77919,3.23724,1.4123,0.0001586,0.0001586,0.0001586
95,4859.67,1.48936,1.61249,1.28046,0.38988,0.34567,0.28366,0.13766,1.77879,3.18677,1.41405,0.0001388,0.0001388,0.0001388
96,4908.99,1.47218,1.5885,1.27064,0.38959,0.3423,0.28155,0.1371,1.7771,3.20036,1.41171,0.000119,0.000119,0.000119
97,4958.3,1.47567,1.59038,1.27808,0.39284,0.33983,0.28008,0.13664,1.77808,3.20268,1.41074,9.92e-05,9.92e-05,9.92e-05
98,5007.76,1.46146,1.57294,1.27204,0.39806,0.33389,0.27891,0.1362,1.77471,3.17295,1.40611,7.94e-05,7.94e-05,7.94e-05
99,5057.04,1.46103,1.56382,1.26336,0.39609,0.33474,0.27963,0.13588,1.77566,3.16254,1.40683,5.96e-05,5.96e-05,5.96e-05
100,5106.38,1.45932,1.55594,1.2711,0.38835,0.34062,0.28021,0.13626,1.77537,3.15203,1.40855,3.98e-05,3.98e-05,3.98e-05
