epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,138.149,2.26607,4.06932,1.83037,0.17812,0.13897,0.08031,0.03316,2.15051,4.37091,1.72486,0.00332939,0.00332939,0.00332939
2,262.761,2.19385,3.19008,1.76282,0.21471,0.19373,0.11445,0.04844,2.13857,3.55726,1.80117,0.00664074,0.00664074,0.00664074
3,384.749,2.25542,2.98749,1.85628,0.1902,0.13428,0.09063,0.03968,2.36225,3.2271,1.9269,0.00993009,0.00993009,0.00993009
4,505.852,2.29019,2.9033,1.90066,0.22374,0.16155,0.10565,0.04338,2.27351,3.32972,1.94192,0.009901,0.009901,0.009901
5,626.157,2.19898,2.76961,1.84833,0.23202,0.18687,0.13018,0.06109,2.17009,3.3108,1.8841,0.009868,0.009868,0.009868
6,745.782,2.14171,2.6902,1.81567,0.29738,0.21449,0.16902,0.07786,2.05602,2.75843,1.73892,0.009835,0.009835,0.009835
7,866.463,2.09196,2.62807,1.76936,0.3055,0.21588,0.17717,0.08466,2.0329,2.90786,1.72567,0.009802,0.009802,0.009802
8,985.713,2.05247,2.57121,1.75291,0.30228,0.25667,0.19757,0.09804,1.98514,2.83576,1.71094,0.009769,0.009769,0.009769
9,1106.08,2.02854,2.52319,1.7274,0.31477,0.24865,0.20053,0.09714,1.96682,3.06315,1.70167,0.009736,0.009736,0.009736
10,1226.31,2.00342,2.49909,1.71133,0.35341,0.26814,0.22808,0.10905,1.92041,2.70737,1.67074,0.009703,0.009703,0.009703
11,1347.11,1.98081,2.48194,1.69868,0.34056,0.27044,0.21589,0.10235,1.94525,2.7487,1.67354,0.00967,0.00967,0.00967
12,1467.7,1.97368,2.46032,1.68644,0.35445,0.26653,0.23698,0.11439,1.90724,2.7487,1.66278,0.009637,0.009637,0.009637
13,1588.22,1.94974,2.43199,1.66665,0.36929,0.28521,0.24643,0.12225,1.89987,2.79696,1.61728,0.009604,0.009604,0.009604
14,1709.32,1.93647,2.40481,1.66449,0.34562,0.28302,0.23839,0.11741,1.86389,3.09989,1.60761,0.009571,0.009571,0.009571
15,1829.18,1.92417,2.38904,1.65158,0.39157,0.28398,0.25741,0.12905,1.81633,2.52556,1.57416,0.009538,0.009538,0.009538
16,1949.46,1.90781,2.36189,1.63698,0.38491,0.29417,0.26334,0.13258,1.79809,2.60718,1.5692,0.009505,0.009505,0.009505
17,2074.53,1.90156,2.33782,1.62843,0.38135,0.2937,0.25786,0.12993,1.8154,2.58155,1.5714,0.009472,0.009472,0.009472
18,2193.76,1.89643,2.33875,1.63157,0.39331,0.30736,0.27216,0.13815,1.7985,2.53151,1.56331,0.009439,0.009439,0.009439
19,2313.83,1.88606,2.31257,1.62038,0.40357,0.30863,0.27516,0.13806,1.79739,2.53796,1.55373,0.009406,0.009406,0.009406
20,2433.43,1.87202,2.31327,1.6146,0.38442,0.31929,0.27341,0.13912,1.76644,2.556,1.5448,0.009373,0.009373,0.009373
21,2553.35,1.85869,2.29758,1.60851,0.40677,0.32043,0.28631,0.14616,1.77694,2.45224,1.52658,0.00934,0.00934,0.00934
22,2673.09,1.85735,2.28193,1.59412,0.39492,0.31756,0.2807,0.1449,1.76513,2.49148,1.53001,0.009307,0.009307,0.009307
23,2792.21,1.85005,2.27097,1.59391,0.41828,0.32265,0.29438,0.15137,1.75672,2.69152,1.53343,0.009274,0.009274,0.009274
24,2912.21,1.85093,2.26861,1.59517,0.42706,0.32217,0.30003,0.1535,1.76746,2.47327,1.54933,0.009241,0.009241,0.009241
25,3032.15,1.83779,2.24963,1.5867,0.41913,0.32534,0.29684,0.15354,1.74595,2.42294,1.52064,0.009208,0.009208,0.009208
